#Archive/File	Name	Time	Size	Type
Archive	GSE278936_RAW.tar	10/30/2024 00:19:53	1741076480	TAR
File	GSM8557976_BPH_1_barcodes.tsv.gz	10/03/2024 06:37:25	23907	TSV
File	GSM8557976_BPH_1_features.tsv.gz	10/03/2024 06:32:13	304728	TSV
File	GSM8557976_BPH_1_matrix.mtx.gz	10/03/2024 06:35:27	41371898	MTX
File	GSM8557976_BPH_1_scalefactors_json.json.gz	10/03/2024 06:27:06	157	JSON
File	GSM8557976_BPH_1_tissue_hires_image.png.gz	10/03/2024 06:31:50	4862358	PNG
File	GSM8557976_BPH_1_tissue_lowres_image.png.gz	10/03/2024 06:32:34	424840	PNG
File	GSM8557976_BPH_1_tissue_positions_list.csv.gz	10/03/2024 06:33:54	60641	CSV
File	GSM8557977_BPH_2_barcodes.tsv.gz	10/03/2024 06:27:56	7810	TSV
File	GSM8557977_BPH_2_features.tsv.gz	10/03/2024 06:25:43	304728	TSV
File	GSM8557977_BPH_2_matrix.mtx.gz	10/03/2024 06:31:24	12451757	MTX
File	GSM8557977_BPH_2_scalefactors_json.json.gz	10/03/2024 06:31:04	156	JSON
File	GSM8557977_BPH_2_tissue_hires_image.png.gz	10/03/2024 06:26:58	4199002	PNG
File	GSM8557977_BPH_2_tissue_lowres_image.png.gz	10/03/2024 06:27:06	364193	PNG
File	GSM8557977_BPH_2_tissue_positions_list.csv.gz	10/03/2024 06:31:11	60651	CSV
File	GSM8557978_BPH_3_barcodes.tsv.gz	10/03/2024 06:26:43	11817	TSV
File	GSM8557978_BPH_3_features.tsv.gz	10/03/2024 06:27:49	304728	TSV
File	GSM8557978_BPH_3_matrix.mtx.gz	10/03/2024 06:29:30	20352244	MTX
File	GSM8557978_BPH_3_scalefactors_json.json.gz	10/03/2024 06:31:01	157	JSON
File	GSM8557978_BPH_3_tissue_hires_image.png.gz	10/03/2024 06:36:35	4548140	PNG
File	GSM8557978_BPH_3_tissue_lowres_image.png.gz	10/03/2024 06:28:26	393480	PNG
File	GSM8557978_BPH_3_tissue_positions_list.csv.gz	10/03/2024 06:30:17	62311	CSV
File	GSM8557979_BPH_4_barcodes.tsv.gz	10/03/2024 06:24:33	21898	TSV
File	GSM8557979_BPH_4_features.tsv.gz	10/03/2024 06:31:02	304728	TSV
File	GSM8557979_BPH_4_matrix.mtx.gz	10/03/2024 06:29:09	45524335	MTX
File	GSM8557979_BPH_4_scalefactors_json.json.gz	10/03/2024 06:27:48	158	JSON
File	GSM8557979_BPH_4_tissue_hires_image.png.gz	10/03/2024 06:37:58	6253351	PNG
File	GSM8557979_BPH_4_tissue_lowres_image.png.gz	10/03/2024 06:28:57	516913	PNG
File	GSM8557979_BPH_4_tissue_positions_list.csv.gz	10/03/2024 06:37:42	62579	CSV
File	GSM8557980_TRNA_1_barcodes.tsv.gz	10/03/2024 06:39:04	22485	TSV
File	GSM8557980_TRNA_1_features.tsv.gz	10/03/2024 06:32:23	304728	TSV
File	GSM8557980_TRNA_1_matrix.mtx.gz	10/03/2024 06:34:47	43308296	MTX
File	GSM8557980_TRNA_1_scalefactors_json.json.gz	10/03/2024 06:27:05	157	JSON
