citation_number,citation_key,authors,title,journal,year,volume,pages/article number,DOI,URL if applicable,source verified,manuscript claim supported,PASS/FAIL
1,Stahl2016Science,"Ståhl, P.L. et al.",Visualization and analysis of gene expression in tissue sections by spatial transcriptomics,Science,2016,353,78-82,10.1126/science.aaf2403,,PASS,PASS,PASS
2,Abdelaal2020NAR,"Abdelaal, T., Mourragui, S., Mahfouz, A. & Reinders, M.J.T.",SpaGE: Spatial Gene Enhancement using scRNA-seq,Nucleic Acids Res.,2020,48,e107-e107,10.1093/nar/gkaa740,,PASS,PASS,PASS
3,Biancalani2021NatMethods,"Biancalani, T. et al.",Deep learning and alignment of spatially resolved single-cell transcriptomes with Tangram,Nat. Methods,2021,18,1352-1362,10.1038/s41592-021-01264-7,,PASS,PASS,PASS
4,Chen2021Bioinformatics,"Shengquan, C., Boheng, Z., Xiaoyang, C., Xuegong, Z. & Rui, J.",stPlus: a reference-based method for the accurate enhancement of spatial transcriptomics,Bioinformatics,2021,37,i299-i307,10.1093/bioinformatics/btab298,,PASS,PASS,PASS
5,Long2023NatCommun,"Long, Y. et al.","Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",Nat. Commun.,2023,14,1155,10.1038/s41467-023-36796-3,,PASS,PASS,PASS
6,Dong2022NatCommun,"Dong, K. & Zhang, S.",Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,Nat. Commun.,2022,13,1739,10.1038/s41467-022-29439-6,,PASS,PASS,PASS
7,Hu2021NatMethods,"Hu, J. et al.","SpaGCN: Integrating gene expression, spatial location and histology to identify spatial domains and spatially variable genes by graph convolutional network",Nat. Methods,2021,18,1342-1351,10.1038/s41592-021-01255-8,,PASS,PASS,PASS
8,Fu2024GenomeMed,"Xu, H. et al.",Unsupervised spatially embedded deep representation of spatial transcriptomics,Genome Med.,2024,16,12,10.1186/s13073-024-01283-x,,PASS,PASS,PASS
9,Kapoor2023Patterns,"Kapoor, S. & Narayanan, A.",Leakage and the reproducibility crisis in machine-learning-based science,Patterns,2023,4,100804,10.1016/j.patter.2023.100804,,PASS,PASS,PASS
10,Kaufman2012ACM,"Kaufman, S., Rosset, S., Perlich, C. & Stitelman, O.",Leakage in data mining,ACM Trans. Knowl. Discov. Data,2012,6,1-21,10.1145/2382577.2382579,,PASS,PASS,PASS
11,Vabalas2019PLOSOne,"Vabalas, A., Gowen, E., Poliakoff, E. & Casson, A.J.",Machine learning algorithm validation with a limited sample size,PLOS ONE,2019,14,e0224365,10.1371/journal.pone.0224365,,PASS,PASS,PASS
12,Varma2006BMCBioinformatics,"Varma, S. & Simon, R.",Bias in error estimation when using cross-validation for model selection,BMC Bioinformatics,2006,7,91,10.1186/1471-2105-7-91,,PASS,PASS,PASS
13,Ambroise2002PNAS,"Ambroise, C. & McLachlan, G.J.",Selection bias in gene extraction on the basis of microarray gene-expression data,Proc. Natl Acad. Sci. USA,2002,99,6562-6566,10.1073/pnas.102102699,,PASS,PASS,PASS
14,Moran1950Biometrika,"Moran, P.A.P.",Notes on continuous stochastic phenomena,Biometrika,1950,37,17–23,10.1093/biomet/37.1-2.17,,PASS,PASS,PASS
15,He2020NatBiomedEng,"He, B. et al.",Integrating spatial gene expression and breast tumour morphology via deep learning,Nat. Biomed. Eng.,2020,4,827-834,10.1038/s41551-020-0578-x,,PASS,PASS,PASS
16,Maynard2021NatNeurosci,"Maynard, K.R. et al.",Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex,Nat. Neurosci.,2021,24,425-436,10.1038/s41593-020-00787-0,,PASS,PASS,PASS
17,Andersson2021NatCommun,"Andersson, A. et al.",Spatial deconvolution of HER2-positive breast cancer delineates tumor-associated cell type interactions,Nat. Commun.,2021,12,6012,10.1038/s41467-021-26271-2,,PASS,PASS,PASS
18,Andersson2021Zenodo,"Andersson, A. et al.",Spatial deconvolution of HER2-positive breast cancer delineates tumor-associated cell type interactions,Zenodo,2021,,,10.5281/zenodo.4751624,,PASS,PASS,PASS
19,Thrane2018CancerRes,"Thrane, K., Eriksson, H., Maaskola, J., Hansson, J. & Lundeberg, J.",Spatially Resolved Transcriptomics Enables Dissection of Genetic Heterogeneity in Stage III Cutaneous Malignant Melanoma,Cancer Res.,2018,78,5970-5979,10.1158/0008-5472.CAN-18-0747,,PASS,PASS,PASS
20,TenXBreastSection1,10x Genomics,Human Breast Cancer (Block A Section 1): Spatial Gene Expression dataset,10x Genomics,2020,,,,https://www.10xgenomics.com/datasets/human-breast-cancer-block-a-section-1-1-standard-1-0-0,PASS,PASS,PASS
21,Kiviaho2024NatCommun,"Kiviaho, A. et al.",Single cell and spatial transcriptomics highlight the interaction of club-like cells with immunosuppressive myeloid cells in prostate cancer,Nat. Commun.,2024,15,9949,10.1038/s41467-024-54364-1,,PASS,PASS,PASS
22,Hamilton2017GraphSAGE,"Hamilton, W.L., Ying, R. & Leskovec, J.",Inductive representation learning on large graphs,Advances in Neural Information Processing Systems,2017,,,,,PASS,PASS,PASS
