split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,graphsage,0,0.2511416820311833,0.24521965589672817,0.23922323014118863,0.28217164974755193,0.24902584637552866,0.4347695206105709,50
matched_hop0,graphsage,0,0.23044261476962905,0.20739930693055814,0.23894588841787578,0.261389311180312,0.2317097020946587,0.4358665010333061,50
patient_A,graphsage,0,0.06908536163422822,0.03672085843452642,0.10587694884184527,0.08969836249957333,0.06708681171441705,0.3200363738555461,50
patient_B,graphsage,0,0.08468018001369329,0.03021314096948825,0.12532520805627118,0.12474353469737702,0.09350701343159541,0.65591926664114,50
patient_C,graphsage,0,0.12416243446234847,0.04626461612144522,0.17695172055779304,0.15993862995549032,0.09130076642709259,0.3885126991569996,50
patient_D,graphsage,0,0.09122523180687017,0.02592663036485486,0.15877221569042452,0.112571945819886,0.0501168265482956,0.42515985360369085,50
patient_E,graphsage,0,0.03737908831459202,0.0,0.06855076332490319,0.048870397844479184,0.032801643585346374,0.3875678874179721,50
patient_F,graphsage,0,0.04941969355201003,0.01794679973515556,0.08189816563328,0.062339108159512366,0.035086480800297595,0.3335479775443673,50
patient_G,graphsage,0,0.0856473649005432,0.0186429355734599,0.12811268343291188,0.1205319284199122,0.09460007918761992,0.6031558412313461,50
patient_H,graphsage,0,0.07348753530171591,0.014242023106992612,0.10304458440207508,0.09939734813207643,0.0738811097697919,0.5810904801636935,50
random,graphsage,1,0.255926245302927,0.23700029559318553,0.2339921607174927,0.27459491234993766,0.2604422247395046,0.431743593737483,50
matched_hop0,graphsage,1,0.23354472486294628,0.2061354530217607,0.23364095818094238,0.24170399004443804,0.2113396930634941,0.436830498278141,50
random,graphsage,2,0.25031576167063985,0.23532767719028547,0.24246024234192037,0.2627314695342012,0.23890096666834917,0.4325625532120466,50
matched_hop0,graphsage,2,0.2344897987020271,0.2315082535068531,0.2353830258942187,0.2609681465730651,0.23482981016692567,0.43585441827774046,50
random,graphsage,3,0.23896142720228858,0.18841472034681575,0.2448516620452433,0.28306560644491513,0.2552374005587512,0.42653473310172557,50
matched_hop0,graphsage,3,0.22784655188917935,0.1568584917039432,0.23826981936404204,0.24697434372106475,0.22019702885290116,0.43607295662164686,50
random,graphsage,4,0.2638825328647039,0.24666963733559244,0.24052424580064888,0.26586697987699315,0.2474202658431718,0.42889551013708116,50
matched_hop0,graphsage,4,0.23987449123346985,0.20143716131145326,0.23212699368397072,0.25662896084939796,0.22164999457489296,0.4358964344859123,50
