split,model,seed,gene,pearson,spearman,rmse
random,mean,0,PTGDS,0.0,,1.0275882482528687
random,mean,0,CD74,,,1.168112874031067
random,mean,0,CCL19,0.0,,0.8581771850585938
random,mean,0,COL3A1,0.0,,1.2849900722503662
random,mean,0,CXCL14,,,0.8404640555381775
random,mean,0,ADH1B,0.0,,0.42435604333877563
random,mean,0,TFF3,,,1.361043095588684
random,mean,0,POSTN,,,1.0996066331863403
random,mean,0,AQP1,,,0.7766835689544678
random,mean,0,ISG15,,,1.283833622932434
random,mean,0,FDCSP,,,0.1577465534210205
random,mean,0,CFD,,,0.8734022974967957
random,mean,0,FABP4,0.0,,0.4443226456642151
random,mean,0,ADIRF,0.0,,0.9536272883415222
random,mean,0,CCL21,0.0,,0.5589607357978821
random,mean,0,CD3D,0.0,,0.5601820349693298
random,mean,0,CLDN5,,,0.6623510122299194
random,mean,0,IFIT2,,,0.3602047264575958
random,mean,0,PTN,0.0,,0.2451254278421402
random,mean,0,S100B,,,0.31735584139823914
random,mean,0,ACTG2,,,0.3092986047267914
random,mean,0,FOS,0.0,,0.7937912344932556
random,mean,0,ELN,,,0.44214585423469543
random,mean,0,NRP1,,,0.4390522837638855
random,mean,0,MS4A4A,,,0.27513420581817627
random,mean,0,LMOD1,,,0.34776368737220764
random,mean,0,HBA2,0.0,,0.13098417222499847
random,mean,0,PPP1R14A,0.0,,0.30054742097854614
random,mean,0,SLITRK6,0.0,,0.1623193919658661
random,mean,0,ADD3,0.0,,0.4117763340473175
random,mean,0,MIA,,,0.1708168089389801
random,mean,0,LTF,,,1.1107079982757568
random,mean,0,CST7,0.0,,0.47375649213790894
random,mean,0,TNF,0.0,,0.19702546298503876
random,mean,0,NEXN,0.0,,0.2351413369178772
random,mean,0,HBB,,,0.09054679423570633
random,mean,0,SP140L,0.0,,0.26786425709724426
random,mean,0,CDKN1C,,,0.46239444613456726
random,mean,0,ITGB1,0.0,,0.3305708169937134
random,mean,0,CLDN11,0.0,,0.2385285496711731
random,mean,0,STC2,,,0.5129910707473755
random,mean,0,UGT8,,,0.05045677721500397
random,mean,0,SOX6,,,0.10718882828950882
random,mean,0,PDLIM4,,,0.3633820116519928
random,mean,0,SEPT4,,,0.2772466242313385
random,mean,0,TLR7,,,0.18058989942073822
random,mean,0,EBF1,,,0.2267405241727829
random,mean,0,FMO2,0.0,,0.1635429710149765
random,mean,0,RELN,0.0,,0.15208818018436432
random,mean,0,VTI1A,,,0.30317822098731995
random,pca_ridge,0,PTGDS,0.43545885316067073,0.4418716703110584,0.9266424179077148
random,pca_ridge,0,CD74,0.6975231748051002,0.6648039772722112,0.8379372358322144
random,pca_ridge,0,CCL19,0.4576396721186101,0.362379914660216,0.7632049918174744
random,pca_ridge,0,COL3A1,0.7418810198655564,0.7410573968930878,0.862366259098053
random,pca_ridge,0,CXCL14,0.43516515794731664,0.4689500027324419,0.7569473385810852
random,pca_ridge,0,ADH1B,0.23299475073760564,0.19170084047851826,0.41268348693847656
random,pca_ridge,0,TFF3,0.7217550939849944,0.6155395154213699,0.9419746994972229
random,pca_ridge,0,POSTN,0.6606637151422166,0.6656247299618299,0.8251500725746155
random,pca_ridge,0,AQP1,0.2570632325110468,0.20540527218149188,0.751270055770874
random,pca_ridge,0,ISG15,0.6389771329510023,0.6190525820264017,0.986796498298645
random,pca_ridge,0,FDCSP,0.06015979494335741,0.046504908668175096,0.15803541243076324
random,pca_ridge,0,CFD,0.2567702721041487,0.23504955174224237,0.8443503379821777
random,pca_ridge,0,FABP4,0.25241048281065115,0.1975408379690134,0.43059077858924866
random,pca_ridge,0,ADIRF,0.37660076120789476,0.3684174058734643,0.8834948539733887
random,pca_ridge,0,CCL21,0.2911203485101582,0.29355751367024546,0.5347671508789062
random,pca_ridge,0,CD3D,0.26795005823936513,0.28810870635968494,0.5399416089057922
random,pca_ridge,0,CLDN5,0.26592799279761736,0.21354393843441105,0.6385223865509033
random,pca_ridge,0,IFIT2,0.2668139228919016,0.20750892601652507,0.3474047780036926
random,pca_ridge,0,PTN,0.17774909029040903,0.1427679562423446,0.24251693487167358
random,pca_ridge,0,S100B,0.22798333756947656,0.171957615698114,0.30906862020492554
random,pca_ridge,0,ACTG2,0.23248724952892177,0.2355407548566618,0.30119022727012634
random,pca_ridge,0,FOS,0.508437070358478,0.40405556424513656,0.6840043067932129
random,pca_ridge,0,ELN,0.23027641553569733,0.2537126526546756,0.4305862486362457
random,pca_ridge,0,NRP1,0.261667183036323,0.27573505329124176,0.42393025755882263
random,pca_ridge,0,MS4A4A,0.12500821746038762,0.16574484725630792,0.27321967482566833
random,pca_ridge,0,LMOD1,0.1670626101435145,0.19110741091571437,0.34287652373313904
random,pca_ridge,0,HBA2,0.043073765404201526,0.024394154300656976,0.13100893795490265
random,pca_ridge,0,PPP1R14A,0.08037826311638892,0.054360873276524585,0.30008676648139954
random,pca_ridge,0,SLITRK6,0.39883583342522877,0.20050865350722624,0.14892078936100006
random,pca_ridge,0,ADD3,0.34026958206121216,0.35450950417885707,0.38741037249565125
random,pca_ridge,0,MIA,0.04162910642656251,0.045253185287129974,0.17085576057434082
random,pca_ridge,0,LTF,0.5421271240609878,0.5164809078734965,0.9322490692138672
random,pca_ridge,0,CST7,0.25382930668108405,0.27104190938318634,0.4581988751888275
random,pca_ridge,0,TNF,0.19628625764709765,0.15139818472026262,0.19352176785469055
random,pca_ridge,0,NEXN,0.14378196981888985,0.15518605307960465,0.23269061744213104
random,pca_ridge,0,HBB,-0.012508195414939017,-0.006295088371190282,0.09194322675466537
random,pca_ridge,0,SP140L,0.10634327426884203,0.11987705490154396,0.2666095197200775
random,pca_ridge,0,CDKN1C,0.11375036048712836,0.10358994449335034,0.4602421224117279
random,pca_ridge,0,ITGB1,0.18586126322542804,0.23037318285002462,0.32514968514442444
random,pca_ridge,0,CLDN11,0.10755046006067234,0.11501638059994133,0.23751796782016754
random,pca_ridge,0,STC2,0.39038626593905845,0.3223914999031887,0.4724927246570587
random,pca_ridge,0,UGT8,0.1219376012409123,0.10383983959629882,0.0500994548201561
random,pca_ridge,0,SOX6,-0.0007145916611197343,0.012004483985212982,0.10740916430950165
random,pca_ridge,0,PDLIM4,0.10257418047899673,0.11369441145684912,0.3621339797973633
random,pca_ridge,0,SEPT4,0.07019820502111679,0.07067864904940956,0.2766225039958954
random,pca_ridge,0,TLR7,0.1237136499899268,0.1421495951278701,0.17941024899482727
random,pca_ridge,0,EBF1,0.06280465583046947,0.04160651378104206,0.22719764709472656
