split,model,seed,gene,pearson,spearman,rmse
random,mean,0,IGKC,,,1.9578934907913208
random,mean,0,SCGB2A2,0.0,,1.5458366870880127
random,mean,0,IGLC2,,,1.8330532312393188
random,mean,0,IGHM,,,1.786257266998291
random,mean,0,AP000769,,,1.4363949298858643
random,mean,0,CD74,,,1.168112874031067
random,mean,0,MUCL1,0.0,,1.7187696695327759
random,mean,0,CHGA,,,0.3803766071796417
random,mean,0,GNAS,0.0,,1.1212584972381592
random,mean,0,IGLC7,,,1.0661146640777588
random,mean,0,IGHG4,0.0,,1.9848397970199585
random,mean,0,COL3A1,0.0,,1.2849900722503662
random,mean,0,S100A9,,,1.7528011798858643
random,mean,0,TFF3,,,1.361043095588684
random,mean,0,JCHAIN,0.0,,0.9959992170333862
random,mean,0,HLA-E,0.0,,1.2167658805847168
random,mean,0,AREG,,,0.3663054406642914
random,mean,0,AGR3,0.0,,0.32153475284576416
random,mean,0,PSMB3,,,1.3106451034545898
random,mean,0,MUC6,0.0,,1.153574824333191
random,mean,0,CCL19,0.0,,0.8581771850585938
random,mean,0,AGR2,,,0.8267630934715271
random,mean,0,FABP7,,,0.42822298407554626
random,mean,0,ISG15,,,1.283833622932434
random,mean,0,KRT15,0.0,,0.7466028332710266
random,mean,0,FNBP1L,,,1.1629822254180908
random,mean,0,FABP4,0.0,,0.4443226456642151
random,mean,0,PTGDS,0.0,,1.0275882482528687
random,mean,0,DCAF12L2,0.0,,0.14735476672649384
random,mean,0,LAPTM4A,,,1.0130908489227295
random,mean,0,SLC9A3R1,0.0,,1.407250165939331
random,mean,0,GLYATL2,,,0.7156345844268799
random,mean,0,TFF1,0.0,,0.7500433325767517
random,mean,0,LTF,,,1.1107079982757568
random,mean,0,ASPH,,,0.8505818247795105
random,mean,0,RHOB,,,0.850499153137207
random,mean,0,S100A8,0.0,,1.5288810729980469
random,mean,0,POSTN,,,1.0996066331863403
random,mean,0,KRT81,,,1.1353702545166016
random,mean,0,CD36,0.0,,0.7559497952461243
random,mean,0,KRT17,,,0.7543794512748718
random,mean,0,SERP1,0.0,,0.8535709381103516
random,mean,0,SCGB3A1,,,1.072880506515503
random,mean,0,IGHD,,,0.5510571599006653
random,mean,0,STOM,,,0.6561989784240723
random,mean,0,ITGAV,0.0,,0.816630482673645
random,mean,0,CCL21,0.0,,0.5589607357978821
random,mean,0,KRT18,0.0,,1.1013414859771729
random,mean,0,SCGB2A1,,,0.4869394898414612
random,mean,0,PVALB,0.0,,0.2575961649417877
random,mean,0,BOD1L1,0.0,,0.4200245440006256
random,mean,0,FAHD2A,,,0.21964871883392334
random,mean,0,SCN8A,,,0.1107833981513977
random,mean,0,KCNB1,,,0.1220705509185791
random,mean,0,ARHGAP21,,,0.3118970990180969
random,mean,0,CRYBA2,0.0,,0.18610379099845886
random,mean,0,PIR,,,0.21647010743618011
random,mean,0,SYT1,,,0.12149348109960556
random,mean,0,SEMA6A,0.0,,0.1497919261455536
random,mean,0,PILRB,0.0,,0.11838231980800629
random,mean,0,WDR13,,,0.8029934167861938
random,mean,0,RAPGEF2,0.0,,0.2692027688026428
random,mean,0,RHOJ,,,0.2726097106933594
random,mean,0,FGF10,,,0.041671738028526306
random,mean,0,SYT17,,,0.2622334361076355
random,mean,0,PPP1R14A,0.0,,0.30054742097854614
random,mean,0,MMRN1,,,0.13886427879333496
random,mean,0,LPIN1,,,0.4471091330051422
