slide,split,model,seed,gene,pearson,spearman,rmse
Section_1,dataset_heldout,mean,0,PTGDS,0.0,,0.5858131051063538
Section_1,dataset_heldout,mean,0,CD74,,,0.8972766995429993
Section_1,dataset_heldout,mean,0,CCL19,,,0.6050981879234314
Section_1,dataset_heldout,mean,0,COL3A1,0.0,,0.7182589173316956
Section_1,dataset_heldout,mean,0,CXCL14,,,1.375656247138977
Section_1,dataset_heldout,mean,0,ADH1B,,,0.27974435687065125
Section_1,dataset_heldout,mean,0,TFF3,,,1.7535756826400757
Section_1,dataset_heldout,mean,0,POSTN,0.0,,0.6447772979736328
Section_1,dataset_heldout,mean,0,AQP1,0.0,,0.548973560333252
Section_1,dataset_heldout,mean,0,ISG15,0.0,,1.334559679031372
Section_1,dataset_heldout,mean,0,FDCSP,,,0.1077452227473259
Section_1,dataset_heldout,mean,0,CFD,0.0,,0.5110117197036743
Section_1,dataset_heldout,mean,0,FABP4,,,0.28113576769828796
Section_1,dataset_heldout,mean,0,ADIRF,,,2.0899593830108643
Section_1,dataset_heldout,mean,0,CCL21,,,0.46447932720184326
Section_1,dataset_heldout,mean,0,CD3D,,,0.30697405338287354
Section_1,dataset_heldout,mean,0,CLDN5,,,0.41307586431503296
Section_1,dataset_heldout,mean,0,IFIT2,,,0.39287662506103516
Section_1,dataset_heldout,mean,0,PTN,0.0,,0.15890149772167206
Section_1,dataset_heldout,mean,0,S100B,,,0.13484209775924683
Section_1,dataset_heldout,mean,0,ACTG2,,,0.1147279366850853
Section_1,dataset_heldout,mean,0,FOS,0.0,,0.6463747620582581
Section_1,dataset_heldout,mean,0,ELN,0.0,,0.4270092844963074
Section_1,dataset_heldout,mean,0,NRP1,0.0,,0.3619670867919922
Section_1,dataset_heldout,mean,0,MS4A4A,,,0.32746824622154236
Section_1,dataset_heldout,mean,0,LMOD1,,,0.17121808230876923
Section_1,dataset_heldout,mean,0,HBA2,0.0,,0.20720762014389038
Section_1,dataset_heldout,mean,0,PPP1R14A,,,0.22691865265369415
Section_1,dataset_heldout,mean,0,SLITRK6,0.0,,0.6157402396202087
Section_1,dataset_heldout,mean,0,ADD3,,,0.3581763207912445
Section_1,dataset_heldout,mean,0,MIA,,,0.1338813155889511
Section_1,dataset_heldout,mean,0,LTF,,,0.7404050230979919
Section_1,dataset_heldout,mean,0,CST7,,,0.2565597593784332
Section_1,dataset_heldout,mean,0,TNF,0.0,,0.16161824762821198
Section_1,dataset_heldout,mean,0,NEXN,,,0.1729239672422409
Section_1,dataset_heldout,mean,0,HBB,0.0,,0.18703795969486237
Section_1,dataset_heldout,mean,0,SP140L,,,0.29442471265792847
Section_1,dataset_heldout,mean,0,CDKN1C,0.0,,0.2702540457248688
Section_1,dataset_heldout,mean,0,ITGB1,,,1.0928391218185425
Section_1,dataset_heldout,mean,0,CLDN11,0.0,,0.169496551156044
Section_1,dataset_heldout,mean,0,STC2,,,0.9050890803337097
Section_1,dataset_heldout,mean,0,UGT8,,,0.02525145933032036
Section_1,dataset_heldout,mean,0,SOX6,0.0,,0.06605815887451172
Section_1,dataset_heldout,mean,0,PDLIM4,0.0,,0.23347555100917816
Section_1,dataset_heldout,mean,0,TLR7,,,0.15865659713745117
Section_1,dataset_heldout,mean,0,EBF1,0.0,,0.19919268786907196
Section_1,dataset_heldout,mean,0,FMO2,,,0.16709239780902863
Section_1,dataset_heldout,mean,0,RELN,,,0.048141758888959885
