dataset,platform,strict_type,strict_split,model,random,strict,LI,RLI,retention
dlpfc,Visium_DLPFC,spatial,matched_hop0,mean,0.0,0.0,0.0,,
dlpfc,Visium_DLPFC,spatial,matched_hop0,pca_ridge,0.29157686753252077,0.1959264348358189,0.09565043269670187,0.32804534017443476,0.6719546598255652
dlpfc,Visium_DLPFC,spatial,matched_hop0,spatial_knn,0.29692923370828184,0.1774287003867675,0.11950053332151434,0.40245459104548004,0.5975454089545199
dlpfc,Visium_DLPFC,patient,patient_,mean,0.0,0.0,0.0,,
dlpfc,Visium_DLPFC,patient,patient_,pca_ridge,0.29157686753252077,0.2295891052880601,0.061987762244460676,0.21259492486161277,0.7874050751383872
dlpfc,Visium_DLPFC,patient,patient_,spatial_knn,0.29692923370828184,0.26134742372349756,0.035581809984784274,0.11983262658381973,0.8801673734161802
anderson,ST_v1,spatial,matched_hop5,mean,0.0,0.0,0.0,,
anderson,ST_v1,spatial,matched_hop5,pca_ridge,0.6040109346365726,0.3913154642468525,0.21269547038972014,0.3521384435162534,0.6478615564837467
anderson,ST_v1,spatial,matched_hop5,spatial_knn,0.03450547515656159,0.06137609911982196,-0.02687062396326037,-0.7787350801964142,1.7787350801964144
anderson,ST_v1,patient,patient_,mean,0.0,0.0,0.0,,
anderson,ST_v1,patient,patient_,pca_ridge,0.6040109346365726,0.20392280560793527,0.40008812902863733,0.6623855729853075,0.33761442701469235
anderson,ST_v1,patient,patient_,spatial_knn,0.03450547515656159,-0.00942275070145595,0.04392822585801754,1.2730798709104028,-0.27307987091040276
thrane,ST_v1,spatial,matched_hop2,mean,0.0,0.0,0.0,,
thrane,ST_v1,spatial,matched_hop2,pca_ridge,0.6532214941268585,0.6577082182985159,-0.004486724171657408,-0.006868610742294506,1.0068686107422946
thrane,ST_v1,spatial,matched_hop2,spatial_knn,0.002800070060424489,0.010365092082121129,-0.0075650220216966395,-2.7017259777242097,3.7017259777242097
thrane,ST_v1,patient,patient_,mean,0.0,0.0,0.0,,
thrane,ST_v1,patient,patient_,pca_ridge,0.6532214941268585,0.32705263011129077,0.3261688640155677,0.49932353259677686,0.5006764674032231
thrane,ST_v1,patient,patient_,spatial_knn,0.002800070060424489,0.014707334104738725,-0.011907264044314237,-4.2524878975739275,5.2524878975739275
visium_breast,Visium_breast,spatial,matched_hop5,mean,0.0,0.0,0.0,,
visium_breast,Visium_breast,spatial,matched_hop5,pca_ridge,0.5972968907724414,0.4424223982699787,0.1548744925024627,0.2592923132450507,0.7407076867549492
visium_breast,Visium_breast,spatial,matched_hop5,spatial_knn,0.648544270388867,0.13222126033854656,0.5163230100503204,0.7961260836376417,0.2038739163623583
visium_breast,Visium_breast,slide,slide_,mean,0.0,0.0,0.0,,
visium_breast,Visium_breast,slide,slide_,pca_ridge,0.5972968907724414,0.5801832862409211,0.017113604531520332,0.02865175559408744,0.9713482444059126
visium_breast,Visium_breast,slide,slide_,spatial_knn,0.648544270388867,0.5524830610157452,0.09606120937312179,0.14811819911002147,0.8518818008899786
