gene,model,random,strict,moran_i,inflation,dataset,platform,strict_type,strict_split
ALB,mean,0.0,0.0,0.1692594156874373,0.0,dlpfc,Visium_DLPFC,patient,patient_
ALB,pca_ridge,0.032615001223156595,0.011464549663046835,0.1692594156874373,0.021150451560109758,dlpfc,Visium_DLPFC,patient,patient_
ALB,spatial_knn,0.24593897166717021,0.2685245136059642,0.1692594156874373,-0.022585541938793974,dlpfc,Visium_DLPFC,patient,patient_
BCAS1,mean,0.0,0.0,0.1807358343959106,0.0,dlpfc,Visium_DLPFC,patient,patient_
BCAS1,pca_ridge,0.36566656202665715,0.2617158571578621,0.1807358343959106,0.10395070486879504,dlpfc,Visium_DLPFC,patient,patient_
BCAS1,spatial_knn,0.24414636349410382,0.20366312368837047,0.1807358343959106,0.040483239805733345,dlpfc,Visium_DLPFC,patient,patient_
CARNS1,mean,0.0,0.0,0.1886997185798093,0.0,dlpfc,Visium_DLPFC,patient,patient_
CARNS1,pca_ridge,0.42375220577322475,0.2990683752933588,0.1886997185798093,0.12468383047986598,dlpfc,Visium_DLPFC,patient,patient_
CARNS1,spatial_knn,0.22865030968906525,0.16705002429907412,0.1886997185798093,0.06160028538999113,dlpfc,Visium_DLPFC,patient,patient_
CLDN11,mean,0.0,0.0,0.2191943851515464,0.0,dlpfc,Visium_DLPFC,patient,patient_
CLDN11,pca_ridge,0.44412569894596865,0.32473754646771436,0.2191943851515464,0.1193881524782543,dlpfc,Visium_DLPFC,patient,patient_
CLDN11,spatial_knn,0.2838064846247407,0.2213746816630587,0.2191943851515464,0.062431802961681965,dlpfc,Visium_DLPFC,patient,patient_
CLDND1,mean,0.0,0.0,0.2178415021442792,0.0,dlpfc,Visium_DLPFC,patient,patient_
CLDND1,pca_ridge,0.4223588452884659,0.32030988048532955,0.2178415021442792,0.10204896480313635,dlpfc,Visium_DLPFC,patient,patient_
CLDND1,spatial_knn,0.27842763302856216,0.23555494562519508,0.2178415021442792,0.04287268740336708,dlpfc,Visium_DLPFC,patient,patient_
CNP,mean,0.0,0.0,0.2624428143356161,0.0,dlpfc,Visium_DLPFC,patient,patient_
CNP,pca_ridge,0.44806813217909713,0.35112637351597437,0.2624428143356161,0.09694175866312277,dlpfc,Visium_DLPFC,patient,patient_
CNP,spatial_knn,0.32154042531937815,0.28538145046069757,0.2624428143356161,0.03615897485868058,dlpfc,Visium_DLPFC,patient,patient_
CPB1,pca_ridge,0.07836158582176385,0.0355090846255593,0.2597490045737292,0.04285250119620455,dlpfc,Visium_DLPFC,patient,patient_
CPB1,spatial_knn,0.3599008972548439,0.35502189125262446,0.2597490045737292,0.004879006002219466,dlpfc,Visium_DLPFC,patient,patient_
CRYAB,mean,0.0,0.0,0.259501099447376,0.0,dlpfc,Visium_DLPFC,patient,patient_
CRYAB,pca_ridge,0.4282806104557732,0.37367385748903104,0.259501099447376,0.05460675296674217,dlpfc,Visium_DLPFC,patient,patient_
CRYAB,spatial_knn,0.2994450670798179,0.2638325194830682,0.259501099447376,0.0356125475967497,dlpfc,Visium_DLPFC,patient,patient_
ENPP2,pca_ridge,0.3969163905559576,0.2878110246069043,0.164948416683164,0.10910536594905335,dlpfc,Visium_DLPFC,patient,patient_
ENPP2,spatial_knn,0.22763745331417748,0.17619669155467868,0.164948416683164,0.0514407617594988,dlpfc,Visium_DLPFC,patient,patient_
ERMN,pca_ridge,0.4483803636601703,0.32744408607933695,0.2253765922283386,0.12093627758083336,dlpfc,Visium_DLPFC,patient,patient_
ERMN,spatial_knn,0.3032096184605401,0.235621181166172,0.2253765922283386,0.06758843729436811,dlpfc,Visium_DLPFC,patient,patient_
FABP4,mean,0.0,0.0,0.334981221819085,0.0,dlpfc,Visium_DLPFC,patient,patient_
FABP4,pca_ridge,0.1383627506476329,0.07718048276905747,0.334981221819085,0.06118226787857543,dlpfc,Visium_DLPFC,patient,patient_
FABP4,spatial_knn,0.45104900937397174,0.435907411894007,0.334981221819085,0.015141597479964741,dlpfc,Visium_DLPFC,patient,patient_
G0S2,pca_ridge,0.09680934456288802,0.058386095443737206,0.1567841737401219,0.038423249119150814,dlpfc,Visium_DLPFC,patient,patient_
G0S2,spatial_knn,0.24361749255747517,0.2451720417015344,0.1567841737401219,-0.0015545491440592252,dlpfc,Visium_DLPFC,patient,patient_
GFAP,pca_ridge,0.47467613047658225,0.4178560230282642,0.419987631352636,0.05682010744831806,dlpfc,Visium_DLPFC,patient,patient_
GFAP,spatial_knn,0.22936133072908546,0.09162358248087503,0.419987631352636,0.13773774824821045,dlpfc,Visium_DLPFC,patient,patient_
HBB,pca_ridge,0.09293001730802027,0.030039440381030128,0.3039362802398034,0.06289057692699014,dlpfc,Visium_DLPFC,patient,patient_
HBB,spatial_knn,0.33234284635217054,0.3125807020443708,0.3039362802398034,0.019762144307799767,dlpfc,Visium_DLPFC,patient,patient_
HPCAL1,mean,0.0,0.0,0.1705304181515227,0.0,dlpfc,Visium_DLPFC,patient,patient_
HPCAL1,pca_ridge,0.2446639425766941,0.22042090491163482,0.1705304181515227,0.02424303766505928,dlpfc,Visium_DLPFC,patient,patient_
HPCAL1,spatial_knn,0.12552853734576166,0.08825475443276883,0.1705304181515227,0.03727378291299284,dlpfc,Visium_DLPFC,patient,patient_
HSPA2,mean,0.0,0.0,0.1602616377243489,0.0,dlpfc,Visium_DLPFC,patient,patient_
HSPA2,pca_ridge,0.3780221407368948,0.28693778129379277,0.1602616377243489,0.091084359443102,dlpfc,Visium_DLPFC,patient,patient_
HSPA2,spatial_knn,0.22201441196237762,0.16317050365314392,0.1602616377243489,0.058843908309233695,dlpfc,Visium_DLPFC,patient,patient_
IGHA1,mean,0.0,0.0,0.2554614284581381,0.0,dlpfc,Visium_DLPFC,patient,patient_
IGHA1,pca_ridge,0.07688309762375456,0.07313010419578249,0.2554614284581381,0.0037529934279720706,dlpfc,Visium_DLPFC,patient,patient_
IGHA1,spatial_knn,0.26931844885191525,0.254471431631063,0.2554614284581381,0.014847017220852243,dlpfc,Visium_DLPFC,patient,patient_
IGHG3,mean,0.0,0.0,0.2710606514846914,0.0,dlpfc,Visium_DLPFC,patient,patient_
IGHG3,pca_ridge,0.03649746680765307,0.019868314054982402,0.2710606514846914,0.016629152752670667,dlpfc,Visium_DLPFC,patient,patient_
IGHG3,spatial_knn,0.28501628305798704,0.256795836053962,0.2710606514846914,0.02822044700402504,dlpfc,Visium_DLPFC,patient,patient_
IGHG4,pca_ridge,0.03127526021096677,0.027797018499014767,0.187532040977866,0.0034782417119520043,dlpfc,Visium_DLPFC,patient,patient_
IGHG4,spatial_knn,0.20565261771544555,0.2027766678457417,0.187532040977866,0.0028759498697038532,dlpfc,Visium_DLPFC,patient,patient_
IGKC,mean,0.0,0.0,0.348206897736826,0.0,dlpfc,Visium_DLPFC,patient,patient_
IGKC,pca_ridge,0.08406060416119708,0.07707663757420023,0.348206897736826,0.006983966586996848,dlpfc,Visium_DLPFC,patient,patient_
IGKC,spatial_knn,0.345734421465293,0.32819047086914305,0.348206897736826,0.017543950596149938,dlpfc,Visium_DLPFC,patient,patient_
IGLC2,pca_ridge,0.06874652294094716,0.0650660698818937,0.2422330058087279,0.0036804530590534568,dlpfc,Visium_DLPFC,patient,patient_
IGLC2,spatial_knn,0.2603506007772184,0.2434215305582257,0.2422330058087279,0.016929070218992676,dlpfc,Visium_DLPFC,patient,patient_
KRT18,pca_ridge,0.23266373596779788,0.22666669009732163,0.183032226865847,0.005997045870476253,dlpfc,Visium_DLPFC,patient,patient_
KRT18,spatial_knn,0.25441830037616675,0.2463983671936465,0.183032226865847,0.008019933182520256,dlpfc,Visium_DLPFC,patient,patient_
KRT19,pca_ridge,0.21901888461372634,0.21326334761704638,0.2464803974649806,0.005755536996679966,dlpfc,Visium_DLPFC,patient,patient_
