gene,model,random,strict,moran_i,inflation,dataset,platform,strict_type,strict_split
ALB,mean,0.0,0.0,0.1692594156874373,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
ALB,pca_ridge,0.032615001223156595,0.00867544573102141,0.1692594156874373,0.023939555492135185,dlpfc,Visium_DLPFC,spatial,matched_hop0
ALB,spatial_knn,0.24593897166717021,0.05306794504939649,0.1692594156874373,0.19287102661777372,dlpfc,Visium_DLPFC,spatial,matched_hop0
BCAS1,mean,0.0,0.0,0.1807358343959106,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
BCAS1,pca_ridge,0.36566656202665715,0.2014609629777968,0.1807358343959106,0.16420559904886034,dlpfc,Visium_DLPFC,spatial,matched_hop0
BCAS1,spatial_knn,0.24414636349410382,0.1354220661284568,0.1807358343959106,0.10872429736564701,dlpfc,Visium_DLPFC,spatial,matched_hop0
CARNS1,pca_ridge,0.42375220577322475,0.23691812140210447,0.1886997185798093,0.18683408437112028,dlpfc,Visium_DLPFC,spatial,matched_hop0
CARNS1,spatial_knn,0.22865030968906525,0.0847457988238586,0.1886997185798093,0.14390451086520664,dlpfc,Visium_DLPFC,spatial,matched_hop0
CLDN11,mean,0.0,0.0,0.2191943851515464,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
CLDN11,pca_ridge,0.44412569894596865,0.24423471314508913,0.2191943851515464,0.19989098580087952,dlpfc,Visium_DLPFC,spatial,matched_hop0
CLDN11,spatial_knn,0.2838064846247407,0.11365148174909556,0.2191943851515464,0.1701550028756451,dlpfc,Visium_DLPFC,spatial,matched_hop0
CLDND1,mean,0.0,0.0,0.2178415021442792,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
CLDND1,pca_ridge,0.4223588452884659,0.2590462930899785,0.2178415021442792,0.1633125521984874,dlpfc,Visium_DLPFC,spatial,matched_hop0
CLDND1,spatial_knn,0.27842763302856216,0.15315609626500018,0.2178415021442792,0.12527153676356198,dlpfc,Visium_DLPFC,spatial,matched_hop0
CNP,mean,0.0,0.0,0.2624428143356161,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
CNP,pca_ridge,0.44806813217909713,0.29977147424914585,0.2624428143356161,0.14829665792995128,dlpfc,Visium_DLPFC,spatial,matched_hop0
CNP,spatial_knn,0.32154042531937815,0.18584044088924861,0.2624428143356161,0.13569998443012954,dlpfc,Visium_DLPFC,spatial,matched_hop0
CPB1,mean,0.0,0.0,0.2597490045737292,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
CPB1,pca_ridge,0.07836158582176385,0.06170908977026618,0.2597490045737292,0.01665249605149767,dlpfc,Visium_DLPFC,spatial,matched_hop0
CPB1,spatial_knn,0.3599008972548439,0.23491038845831688,0.2597490045737292,0.12499050879652704,dlpfc,Visium_DLPFC,spatial,matched_hop0
CRYAB,mean,0.0,0.0,0.259501099447376,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
CRYAB,pca_ridge,0.4282806104557732,0.2566151962052015,0.259501099447376,0.1716654142505717,dlpfc,Visium_DLPFC,spatial,matched_hop0
CRYAB,spatial_knn,0.2994450670798179,0.14432233285856416,0.259501099447376,0.15512273422125372,dlpfc,Visium_DLPFC,spatial,matched_hop0
ENPP2,mean,0.0,0.0,0.164948416683164,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
ENPP2,pca_ridge,0.3969163905559576,0.21207674333038837,0.164948416683164,0.18483964722556925,dlpfc,Visium_DLPFC,spatial,matched_hop0
ENPP2,spatial_knn,0.22763745331417748,0.10992148901935846,0.164948416683164,0.11771596429481902,dlpfc,Visium_DLPFC,spatial,matched_hop0
ERMN,mean,0.0,0.0,0.2253765922283386,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
ERMN,pca_ridge,0.4483803636601703,0.25165245307896933,0.2253765922283386,0.19672791058120098,dlpfc,Visium_DLPFC,spatial,matched_hop0
ERMN,spatial_knn,0.3032096184605401,0.14593115893745606,0.2253765922283386,0.15727845952308406,dlpfc,Visium_DLPFC,spatial,matched_hop0
FABP4,mean,0.0,0.0,0.334981221819085,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
FABP4,pca_ridge,0.1383627506476329,0.12890844043365218,0.334981221819085,0.009454310213980716,dlpfc,Visium_DLPFC,spatial,matched_hop0
FABP4,spatial_knn,0.45104900937397174,0.33158634659153846,0.334981221819085,0.11946266278243328,dlpfc,Visium_DLPFC,spatial,matched_hop0
G0S2,mean,0.0,0.0,0.1567841737401219,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
G0S2,pca_ridge,0.09680934456288802,0.08853178243242732,0.1567841737401219,0.0082775621304607,dlpfc,Visium_DLPFC,spatial,matched_hop0
G0S2,spatial_knn,0.24361749255747517,0.19754858342902845,0.1567841737401219,0.04606890912844672,dlpfc,Visium_DLPFC,spatial,matched_hop0
GFAP,mean,0.0,0.0,0.419987631352636,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
GFAP,pca_ridge,0.47467613047658225,0.4144967503901464,0.419987631352636,0.06017938008643586,dlpfc,Visium_DLPFC,spatial,matched_hop0
GFAP,spatial_knn,0.22936133072908546,0.11532413619948159,0.419987631352636,0.11403719452960387,dlpfc,Visium_DLPFC,spatial,matched_hop0
HBB,mean,0.0,0.0,0.3039362802398034,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
HBB,pca_ridge,0.09293001730802027,0.05643278370672159,0.3039362802398034,0.036497233601298674,dlpfc,Visium_DLPFC,spatial,matched_hop0
HBB,spatial_knn,0.33234284635217054,0.27922437880703543,0.3039362802398034,0.053118467545135106,dlpfc,Visium_DLPFC,spatial,matched_hop0
HPCAL1,pca_ridge,0.2446639425766941,0.23470292788998132,0.1705304181515227,0.009961014686712788,dlpfc,Visium_DLPFC,spatial,matched_hop0
HPCAL1,spatial_knn,0.12552853734576166,0.1277704034867278,0.1705304181515227,-0.0022418661409661367,dlpfc,Visium_DLPFC,spatial,matched_hop0
HSPA2,mean,0.0,0.0,0.1602616377243489,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
HSPA2,pca_ridge,0.3780221407368948,0.19672049769734185,0.1602616377243489,0.18130164303955293,dlpfc,Visium_DLPFC,spatial,matched_hop0
HSPA2,spatial_knn,0.22201441196237762,0.061963547296227994,0.1602616377243489,0.16005086466614962,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHA1,mean,0.0,0.0,0.2554614284581381,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHA1,pca_ridge,0.07688309762375456,0.044274713268975044,0.2554614284581381,0.032608384354779515,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHA1,spatial_knn,0.26931844885191525,0.15201613641235992,0.2554614284581381,0.11730231243955533,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHG3,mean,0.0,0.0,0.2710606514846914,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHG3,pca_ridge,0.03649746680765307,0.02187871326070634,0.2710606514846914,0.01461875354694673,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHG3,spatial_knn,0.28501628305798704,0.17348750544432617,0.2710606514846914,0.11152877761366087,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHG4,mean,0.0,0.0,0.187532040977866,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHG4,pca_ridge,0.03127526021096677,0.02133991971628216,0.187532040977866,0.00993534049468461,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGHG4,spatial_knn,0.20565261771544555,0.14220311738430136,0.187532040977866,0.06344950033114419,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGKC,mean,0.0,0.0,0.348206897736826,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGKC,pca_ridge,0.08406060416119708,0.07032241032912943,0.348206897736826,0.013738193832067647,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGKC,spatial_knn,0.345734421465293,0.29103725599895297,0.348206897736826,0.054697165466340014,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGLC2,mean,0.0,0.0,0.2422330058087279,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGLC2,pca_ridge,0.06874652294094716,0.04123545110739692,0.2422330058087279,0.02751107183355024,dlpfc,Visium_DLPFC,spatial,matched_hop0
IGLC2,spatial_knn,0.2603506007772184,0.15104671529957905,0.2422330058087279,0.10930388547763933,dlpfc,Visium_DLPFC,spatial,matched_hop0
KRT18,mean,0.0,0.0,0.183032226865847,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
KRT18,pca_ridge,0.23266373596779788,0.15843619931882852,0.183032226865847,0.07422753664896936,dlpfc,Visium_DLPFC,spatial,matched_hop0
KRT18,spatial_knn,0.25441830037616675,0.18797215966203357,0.183032226865847,0.06644614071413318,dlpfc,Visium_DLPFC,spatial,matched_hop0
