gene,model,rand,pat,inflation,moran_i
ALB,mean,0.0,0.0,0.0,0.1692594156874373
ALB,pca_ridge,0.032615001223156595,0.011464549663046835,0.021150451560109758,0.1692594156874373
ALB,spatial_knn,0.24593897166717021,0.2685245136059642,-0.022585541938793974,0.1692594156874373
BCAS1,mean,0.0,0.0,0.0,0.1807358343959106
BCAS1,pca_ridge,0.36566656202665715,0.2617158571578621,0.10395070486879504,0.1807358343959106
BCAS1,spatial_knn,0.24414636349410382,0.20366312368837047,0.040483239805733345,0.1807358343959106
CARNS1,mean,0.0,0.0,0.0,0.1886997185798093
CARNS1,pca_ridge,0.42375220577322475,0.2990683752933588,0.12468383047986598,0.1886997185798093
CARNS1,spatial_knn,0.22865030968906525,0.16705002429907412,0.06160028538999113,0.1886997185798093
CLDN11,mean,0.0,0.0,0.0,0.2191943851515464
CLDN11,pca_ridge,0.44412569894596865,0.32473754646771436,0.1193881524782543,0.2191943851515464
CLDN11,spatial_knn,0.2838064846247407,0.2213746816630587,0.062431802961681965,0.2191943851515464
CLDND1,mean,0.0,0.0,0.0,0.2178415021442792
CLDND1,pca_ridge,0.4223588452884659,0.32030988048532955,0.10204896480313635,0.2178415021442792
CLDND1,spatial_knn,0.27842763302856216,0.23555494562519508,0.04287268740336708,0.2178415021442792
CNP,mean,0.0,0.0,0.0,0.2624428143356161
CNP,pca_ridge,0.44806813217909713,0.35112637351597437,0.09694175866312277,0.2624428143356161
CNP,spatial_knn,0.32154042531937815,0.28538145046069757,0.03615897485868058,0.2624428143356161
CPB1,pca_ridge,0.07836158582176385,0.0355090846255593,0.04285250119620455,0.2597490045737292
CPB1,spatial_knn,0.3599008972548439,0.35502189125262446,0.004879006002219466,0.2597490045737292
CRYAB,mean,0.0,0.0,0.0,0.259501099447376
CRYAB,pca_ridge,0.4282806104557732,0.37367385748903104,0.05460675296674217,0.259501099447376
CRYAB,spatial_knn,0.2994450670798179,0.2638325194830682,0.0356125475967497,0.259501099447376
ENPP2,pca_ridge,0.3969163905559576,0.2878110246069043,0.10910536594905335,0.164948416683164
ENPP2,spatial_knn,0.22763745331417748,0.17619669155467868,0.0514407617594988,0.164948416683164
ERMN,pca_ridge,0.4483803636601703,0.32744408607933695,0.12093627758083336,0.2253765922283386
ERMN,spatial_knn,0.3032096184605401,0.235621181166172,0.06758843729436811,0.2253765922283386
FABP4,mean,0.0,0.0,0.0,0.334981221819085
FABP4,pca_ridge,0.1383627506476329,0.07718048276905747,0.06118226787857543,0.334981221819085
FABP4,spatial_knn,0.45104900937397174,0.435907411894007,0.015141597479964741,0.334981221819085
G0S2,pca_ridge,0.09680934456288802,0.058386095443737206,0.038423249119150814,0.1567841737401219
G0S2,spatial_knn,0.24361749255747517,0.2451720417015344,-0.0015545491440592252,0.1567841737401219
GFAP,pca_ridge,0.47467613047658225,0.4178560230282642,0.05682010744831806,0.419987631352636
GFAP,spatial_knn,0.22936133072908546,0.09162358248087503,0.13773774824821045,0.419987631352636
HBB,pca_ridge,0.09293001730802027,0.030039440381030128,0.06289057692699014,0.3039362802398034
HBB,spatial_knn,0.33234284635217054,0.3125807020443708,0.019762144307799767,0.3039362802398034
