split,model,mean,sd,min,max,n_seeds
matched_coord0.25,mean,0.0,0.0,0.0,0.0,10
matched_coord0.25,pca_ridge,0.1650532328268975,0.019642849730121228,0.149651282899134,0.200028330167429,10
matched_coord0.25,spatial_knn,0.12990940614932234,0.05074019225120936,0.0906157459779459,0.1917517977985291,10
matched_coord0.5,mean,0.0,0.0,0.0,0.0,10
matched_coord0.5,pca_ridge,0.14158639520394084,0.011004837201066436,0.1268585533697635,0.160893690571625,10
matched_coord0.5,spatial_knn,0.07840000627680102,0.02934066831557332,0.0556729357374805,0.1127314315486987,10
matched_coord1.0,mean,0.0,0.0,0.0,0.0,4
matched_coord1.0,pca_ridge,0.10794147722368364,0.001545409605960172,0.1058934146376712,0.1096081992368557,4
matched_coord1.0,spatial_knn,0.016567468005983223,0.0025492170344930502,0.0152928594887367,0.0203912935577228,4
matched_hop0,mean,0.0,0.0,0.0,0.0,10
matched_hop0,pca_ridge,0.1959264348358189,0.03986709271772423,0.1646112630880038,0.2476949335908214,10
matched_hop0,spatial_knn,0.17742870038676747,0.05104109158725292,0.137894287866759,0.2380121169956141,10
matched_hop1,mean,0.0,0.0,0.0,0.0,10
matched_hop1,pca_ridge,0.1959264348358189,0.03986709271772423,0.1646112630880038,0.2476949335908214,10
matched_hop1,spatial_knn,0.17742870038676747,0.05104109158725292,0.137894287866759,0.2380121169956141,10
matched_hop2,mean,0.0,0.0,0.0,0.0,10
matched_hop2,pca_ridge,0.18441224226056413,0.03428276333669553,0.157542482478706,0.2333419979130809,10
matched_hop2,spatial_knn,0.15559799279361167,0.05664264823927906,0.1117270919255663,0.2234660032734543,10
matched_hop5,mean,0.0,0.0,0.0,0.0,10
matched_hop5,pca_ridge,0.15657360020499272,0.009804097633443934,0.1501460922872615,0.1834288588497006,10
matched_hop5,spatial_knn,0.08896043283506236,0.05532092247043058,0.0461221752641216,0.1544043930794866,10
patient_Br5292,mean,0.0,0.0,0.0,0.0,10
patient_Br5292,pca_ridge,0.1909138530990831,0.0,0.1909138530990831,0.1909138530990831,10
patient_Br5292,spatial_knn,0.2490359152716531,0.0,0.2490359152716531,0.2490359152716531,10
patient_Br5595,mean,0.0,0.0,0.0,0.0,10
patient_Br5595,pca_ridge,0.1516816158757906,0.0,0.1516816158757906,0.1516816158757906,10
patient_Br5595,spatial_knn,0.2225776543509615,0.0,0.2225776543509615,0.2225776543509615,10
patient_Br8100,mean,0.0,0.0,0.0,0.0,10
patient_Br8100,pca_ridge,0.3461718468893066,0.0,0.3461718468893066,0.3461718468893066,10
patient_Br8100,spatial_knn,0.3124287015478781,0.0,0.3124287015478781,0.3124287015478781,10
random,mean,0.0,0.0,0.0,0.0,10
random,pca_ridge,0.29157686753252077,0.0075860776118504315,0.2778023998462749,0.3014344268509336,10
random,spatial_knn,0.29692923370828184,0.005724096721597289,0.2855879547661953,0.3037074906343557,10
region_hop10,mean,0.0,0.0,0.0,0.0,10
region_hop10,pca_ridge,0.1558878613549738,0.0,0.1558878613549738,0.1558878613549738,10
region_hop10,spatial_knn,0.1267664179596448,0.0,0.1267664179596448,0.1267664179596448,10
region_hop5,mean,0.0,0.0,0.0,0.0,10
region_hop5,pca_ridge,0.1892601285181091,0.0,0.1892601285181091,0.1892601285181091,10
region_hop5,spatial_knn,0.153063793911766,0.0,0.153063793911766,0.153063793911766,10
