split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,mean,0,0.0,0.0,0.0,,,0.8223435291647911,50
random,pca_ridge,0,0.2962721284839709,0.3525339893550157,0.16173210447343755,0.22237094136483607,0.24884225568586438,0.7698010009527206,50
random,spatial_knn,0,0.301811911381327,0.2716573109098439,0.10974727379328376,0.2568838593247552,0.22391741023342115,0.7871844848492997,50
matched_hop0,mean,0,0.0,0.0,0.0,,,0.7454125669598579,50
matched_hop0,pca_ridge,0,0.16461126308800383,0.1560928141696269,0.09476254600612798,0.15913894945133925,0.15622342262899924,0.7308767905831337,50
matched_hop0,spatial_knn,0,0.13789428786675909,0.11057659678007124,0.11202417813961492,0.12713815009223653,0.08921824645869639,0.7504973078808288,50
matched_hop1,mean,0,0.0,0.0,0.0,,,0.7454125669598579,50
matched_hop1,pca_ridge,0,0.16461126308800383,0.1560928141696269,0.09476254600612798,0.15913894945133925,0.15622342262899924,0.7308767905831337,50
matched_hop1,spatial_knn,0,0.13789428786675909,0.11057659678007124,0.11202417813961492,0.12713815009223653,0.08921824645869639,0.7504973078808288,50
matched_hop2,mean,0,0.0,0.0,0.0,,,0.7434014448523522,50
matched_hop2,pca_ridge,0,0.157542482478706,0.1528219982204546,0.0931877734309714,0.15713612686165457,0.15631225317564507,0.7301682767271995,50
matched_hop2,spatial_knn,0,0.11172709192556636,0.08049969885783496,0.10464079349870929,0.10484394324648333,0.07190725255125408,0.758597397173057,50
matched_hop5,mean,0,0.0,0.0,0.0,,,0.774471520781517,50
matched_hop5,pca_ridge,0,0.15401635973513178,0.13654649849778155,0.09804982809611466,0.15811645047404635,0.13582633860998394,0.7599616780877113,50
matched_hop5,spatial_knn,0,0.046122175264121684,0.03138242951413378,0.09421973933136962,0.03904354235669985,0.032610545620834305,0.8157802354676424,50
matched_coord0.25,mean,0,0.0,0.0,0.0,,,0.7413957357406616,50
matched_coord0.25,pca_ridge,0,0.14965128289913404,0.13749667970372392,0.09214748475634382,0.15250068151020824,0.15353148068701677,0.7293078266084194,50
matched_coord0.25,spatial_knn,0,0.09061574597794599,0.054380369936527506,0.09950755577903175,0.08492962855749625,0.04868623511080522,0.7645028079319666,50
matched_coord0.5,mean,0,0.0,0.0,0.0,,,0.7489439889788627,50
matched_coord0.5,pca_ridge,0,0.1440917299655875,0.12979913511371766,0.09868947405752605,0.1491977774067643,0.14552340998376842,0.7366734293103218,50
matched_coord0.5,spatial_knn,0,0.05567293573748058,0.03783205463350309,0.0866888567547107,0.05004578921129733,0.028815675167207403,0.7851165328578726,50
patient_Br5292,mean,0,0.0,0.0,0.0,,,0.8531782126426697,50
patient_Br5292,pca_ridge,0,0.19091385309908318,0.20811266351701502,0.10219761514171882,0.1372388223594731,0.12612769581856415,0.8248823514580726,50
patient_Br5292,spatial_knn,0,0.2490359152716531,0.23181261131053088,0.13114565283550086,0.21056697647249067,0.171426576714708,0.8420943726014026,50
patient_Br5595,mean,0,0.0,0.0,0.0,,,0.7468556137382985,50
patient_Br5595,pca_ridge,0,0.15168161587579068,0.13684171407586943,0.08435388332831611,0.14472816503145677,0.13865561555924139,0.7362388443946838,50
patient_Br5595,spatial_knn,0,0.2225776543509615,0.19904492246678435,0.14474170497978936,0.2073294461383328,0.16414138891394997,0.7824297876017918,50
patient_Br8100,mean,0,0.0,0.0,0.0,,,0.8842540135979653,50
patient_Br8100,pca_ridge,0,0.3461718468893066,0.45220594185080754,0.23033999651502368,0.28996512034332356,0.38084836593146276,0.814390417933464,50
patient_Br8100,spatial_knn,0,0.31242870154787816,0.2938672459499737,0.1302795738465486,0.2705344200812299,0.25566299292376293,0.8460464494191219,50
region_hop5,mean,0,0.0,0.0,0.0,,,0.8126642459630966,50
region_hop5,pca_ridge,0,0.18926012851810917,0.20353575765238366,0.10588523522079578,0.1687353339461961,0.18686181504126592,0.7949254849553108,50
region_hop5,spatial_knn,0,0.15306379391176603,0.1427326786018513,0.13111384022911224,0.13911681706200313,0.11561359358617115,0.820978365025704,50
region_hop10,mean,0,0.0,0.0,0.0,,,0.7984269054234028,50
region_hop10,pca_ridge,0,0.15588786135497384,0.16420647030133534,0.08855328519482213,0.14092243571510166,0.1499114946438918,0.7886197544634342,50
region_hop10,spatial_knn,0,0.12676641795964483,0.10576794379160828,0.1294557319711386,0.11657419668414963,0.08060749099311282,0.8164213867793141,50
random,mean,1,0.0,0.0,0.0,,,0.8204426449537278,50
random,pca_ridge,1,0.29565414779673915,0.3300689972426363,0.15418962266336836,0.22305698460367995,0.24617551077555364,0.7696062895655632,50
random,spatial_knn,1,0.29910091978606773,0.2739687570579787,0.11289186705665194,0.2564896229007819,0.21784401485700294,0.78491948477212,50
matched_hop0,mean,1,0.0,0.0,0.0,,,0.7454125669598579,50
matched_hop0,pca_ridge,1,0.16613550816078398,0.15724030710518566,0.09463333257917131,0.16137405664018303,0.16091051648255633,0.7306490209698677,50
matched_hop0,spatial_knn,1,0.13789428786675909,0.11057659678007124,0.11202417813961492,0.12713815009223653,0.08921824645869639,0.7504973078808288,50
matched_hop1,mean,1,0.0,0.0,0.0,,,0.7454125669598579,50
matched_hop1,pca_ridge,1,0.16613550816078398,0.15724030710518566,0.09463333257917131,0.16137405664018303,0.16091051648255633,0.7306490209698677,50
matched_hop1,spatial_knn,1,0.13789428786675909,0.11057659678007124,0.11202417813961492,0.12713815009223653,0.08921824645869639,0.7504973078808288,50
matched_hop2,mean,1,0.0,0.0,0.0,,,0.7434014448523522,50
matched_hop2,pca_ridge,1,0.1590039790685603,0.15550174841449935,0.09302932073291137,0.15935156047525317,0.16005303544243335,0.7299521066248417,50
matched_hop2,spatial_knn,1,0.11172709192556636,0.08049969885783496,0.10464079349870929,0.10484394324648333,0.07190725255125408,0.758597397173057,50
matched_hop5,mean,1,0.0,0.0,0.0,,,0.774471520781517,50
matched_hop5,pca_ridge,1,0.1584193727638267,0.1420671101841589,0.09731464854246814,0.1625114872216669,0.14757259535075326,0.7594286131858826,50
matched_hop5,spatial_knn,1,0.046122175264121684,0.03138242951413378,0.09421973933136962,0.03904354235669985,0.032610545620834305,0.8157802354676424,50
matched_coord0.25,mean,1,0.0,0.0,0.0,,,0.7413957357406616,50
matched_coord0.25,pca_ridge,1,0.1513732307989599,0.1390982109952017,0.09189336244830144,0.15489195277033008,0.15479109364404803,0.729026405364275,50
matched_coord0.25,spatial_knn,1,0.09061574597794599,0.054380369936527506,0.09950755577903175,0.08492962855749625,0.04868623511080522,0.7645028079319666,50
matched_coord0.5,mean,1,0.0,0.0,0.0,,,0.7489439889788627,50
matched_coord0.5,pca_ridge,1,0.14812986715954632,0.1312890354055995,0.09704703713992113,0.15385895012228848,0.148591564484863,0.7361116245388984,50
matched_coord0.5,spatial_knn,1,0.05567293573748058,0.03783205463350309,0.0866888567547107,0.05004578921129733,0.028815675167207403,0.7851165328578726,50
random,mean,2,0.0,0.0,0.0,,,0.8159250956773758,50
random,pca_ridge,2,0.2868134924448283,0.318681232136273,0.1522328406895595,0.21811571952920744,0.23389285607680665,0.7678133633732795,50
random,spatial_knn,2,0.2952451211331834,0.2738337135753014,0.11720617946065909,0.2530083275006582,0.2245517203918116,0.7833183818122059,50
matched_hop0,mean,2,0.0,0.0,0.0,,,0.8349793046712876,50
matched_hop0,pca_ridge,2,0.2476949335908214,0.2850261873353851,0.14001141872333017,0.20765605322388947,0.23737817733822136,0.7988279455900192,50
matched_hop0,spatial_knn,2,0.2380121169956141,0.20855585869727566,0.12555989566816864,0.2234760033461523,0.19659249122163877,0.8243363756440438,50
matched_hop1,mean,2,0.0,0.0,0.0,,,0.8349793046712876,50
matched_hop1,pca_ridge,2,0.2476949335908214,0.2850261873353851,0.14001141872333017,0.20765605322388947,0.23737817733822136,0.7988279455900192,50
matched_hop1,spatial_knn,2,0.2380121169956141,0.20855585869727566,0.12555989566816864,0.2234760033461523,0.19659249122163877,0.8243363756440438,50
matched_hop2,mean,2,0.0,0.0,0.0,,,0.8400520724058151,50
matched_hop2,pca_ridge,2,0.23334199791308094,0.2706528727272544,0.13049378086665192,0.2028064289401485,0.23332066608986524,0.8089917528629303,50
matched_hop2,spatial_knn,2,0.2234660032734543,0.1974825050627648,0.12806162280556116,0.21232996345110883,0.18248294287181765,0.8386809637571743,50
matched_hop5,mean,2,0.0,0.0,0.0,,,0.8610179728269577,50
matched_hop5,pca_ridge,2,0.1834288588497006,0.17892044918970723,0.11724745047060565,0.1813484283494474,0.17982780689302097,0.8454804754257202,50
matched_hop5,spatial_knn,2,0.14965809752743417,0.12330553816194634,0.12545071383728953,0.1460650381416552,0.1239706693199406,0.9146159835733151,50
matched_coord0.25,mean,2,0.0,0.0,0.0,,,0.8384517580270767,50
matched_coord0.25,pca_ridge,2,0.20002833016742907,0.20664247315176526,0.1147817780245468,0.18667151555154343,0.19937378345517937,0.8184230679273605,50
matched_coord0.25,spatial_knn,2,0.19175179779852913,0.16371657069958323,0.13096802446538344,0.18497449851918124,0.15211442972802963,0.8569275491247075,50
matched_coord0.5,mean,2,0.0,0.0,0.0,,,0.8633216857910156,50
matched_coord0.5,pca_ridge,2,0.16089369057162503,0.15179002847960327,0.10941715811292456,0.16133989868853527,0.1621456215468332,0.8531188094615936,50
matched_coord0.5,spatial_knn,2,0.11273143154869877,0.08157136923437504,0.11261667286756799,0.10624173014498181,0.08404431995580346,0.9340709068533911,50
matched_coord1.0,mean,2,0.0,0.0,0.0,,,0.8890271593909711,50
matched_coord1.0,pca_ridge,2,0.10960819923685572,0.0923889467472847,0.12903794887809536,0.10594017323199945,0.0949749049644529,0.8858866435103119,50
matched_coord1.0,spatial_knn,2,0.02039129355772284,0.028365166230305782,0.08622586174420728,0.024169552244654325,0.0280203349284316,1.0439743804921553,50
random,mean,3,0.0,0.0,0.0,,,0.8253456795215607,50
random,pca_ridge,3,0.3014344268509336,0.3346403154663557,0.15802212794943107,0.22463970442450637,0.24782659409834498,0.7720195859670639,50
random,spatial_knn,3,0.30370749063435576,0.28409164230267014,0.11248269347643604,0.25740844188031325,0.22697737485116953,0.7878338205841444,50
matched_hop0,mean,3,0.0,0.0,0.0,,,0.8419679382443428,50
matched_hop0,pca_ridge,3,0.24057437987374106,0.2797751164227761,0.13659251514039983,0.20093140204764215,0.22213264258960175,0.8073957325518131,50
matched_hop0,spatial_knn,3,0.23630305322383563,0.22757940521489395,0.11257325537291474,0.21815710093184507,0.2091537419185379,0.8231090507894643,50
matched_hop1,mean,3,0.0,0.0,0.0,,,0.8419679382443428,50
matched_hop1,pca_ridge,3,0.24057437987374106,0.2797751164227761,0.13659251514039983,0.20093140204764215,0.22213264258960175,0.8073957325518131,50
matched_hop1,spatial_knn,3,0.23630305322383563,0.22757940521489395,0.11257325537291474,0.21815710093184507,0.2091537419185379,0.8231090507894643,50
matched_hop2,mean,3,0.0,0.0,0.0,,,0.8404845279455185,50
matched_hop2,pca_ridge,3,0.22106595122289682,0.2502827977550784,0.12482563234249287,0.1892126916973952,0.20492858158031568,0.8122980138659477,50
matched_hop2,spatial_knn,3,0.22071712436975485,0.21092521512664955,0.11525876899473754,0.20240151555960562,0.18965194861372411,0.8285531748968351,50
matched_hop5,mean,3,0.0,0.0,0.0,,,0.8246105809509754,50
matched_hop5,pca_ridge,3,0.15048857874449229,0.15815341472750688,0.09490616895673872,0.13956446296195535,0.13218353112096376,0.8135082723200321,50
matched_hop5,spatial_knn,3,0.1544043930794866,0.14435153656338667,0.11332470201792885,0.12206112887719264,0.11082972661837329,0.835756582837606,50
matched_coord0.25,mean,3,0.0,0.0,0.0,,,0.8343341797590256,50
matched_coord0.25,pca_ridge,3,0.18295459901358427,0.19120558105015967,0.10375793072723943,0.1659371272739073,0.16818203920219865,0.8169291871786117,50
matched_coord0.25,spatial_knn,3,0.18788259594233964,0.17159885954207116,0.11668205291252885,0.1684214830436178,0.1475459606190418,0.8351092533498501,50
matched_coord0.5,mean,3,0.0,0.0,0.0,,,0.8039502662420273,50
matched_coord0.5,pca_ridge,3,0.1268585533697635,0.11700921342826337,0.09549741184541306,0.11984402287604702,0.1110124908935107,0.7950570264458656,50
matched_coord0.5,spatial_knn,3,0.11241033893147621,0.10353390991241287,0.09980365700789516,0.07332997466011391,0.05993079157663522,0.8203355172798458,50
matched_coord1.0,mean,3,0.0,0.0,0.0,,,0.7887468880414963,50
matched_coord1.0,pca_ridge,3,0.10837672838519273,0.11235454731631295,0.11320786390544298,0.10790186042232403,0.09204865973274523,0.7703775286674499,50
matched_coord1.0,spatial_knn,3,0.015292859488736758,0.01029983698236587,0.09603482802580601,0.01666844869693042,0.011175851422803352,0.7728107231873054,50
random,mean,4,0.0,0.0,0.0,,,0.8142027723789215,50
random,pca_ridge,4,0.28653453896318326,0.32999756405567904,0.1492868713837563,0.21614006395300703,0.23354452409518195,0.7667856907844544,50
random,spatial_knn,4,0.2855879547661953,0.2593933248803769,0.11837296377302636,0.24564813352472858,0.2232871212380627,0.7843596893307668,50
matched_hop0,mean,4,0.0,0.0,0.0,,,0.8419679382443428,50
matched_hop0,pca_ridge,4,0.23988678514115164,0.2793319491292594,0.13768438057720964,0.2005072741954643,0.22191680618911314,0.8073550865054131,50
matched_hop0,spatial_knn,4,0.23630305322383563,0.22757940521489395,0.11257325537291474,0.21815710093184507,0.2091537419185379,0.8231090507894643,50
matched_hop1,mean,4,0.0,0.0,0.0,,,0.8419679382443428,50
matched_hop1,pca_ridge,4,0.23988678514115164,0.2793319491292594,0.13768438057720964,0.2005072741954643,0.22191680618911314,0.8073550865054131,50
matched_hop1,spatial_knn,4,0.23630305322383563,0.22757940521489395,0.11257325537291474,0.21815710093184507,0.2091537419185379,0.8231090507894643,50
matched_hop2,mean,4,0.0,0.0,0.0,,,0.8404845279455185,50
matched_hop2,pca_ridge,4,0.22047473410538668,0.24957820979086678,0.1258359044736011,0.1888646305646415,0.20500178596431198,0.812219669520855,50
matched_hop2,spatial_knn,4,0.22071712436975485,0.21092521512664955,0.11525876899473754,0.20240151555960562,0.18965194861372411,0.8285531748968351,50
matched_hop5,mean,4,0.0,0.0,0.0,,,0.8246105809509754,50
matched_hop5,pca_ridge,4,0.15014609228726158,0.1601050342631137,0.09545562891224403,0.13959442104227593,0.13256633801700787,0.8133844359219075,50
matched_hop5,spatial_knn,4,0.1544043930794866,0.14435153656338667,0.11332470201792885,0.12206112887719264,0.11082972661837329,0.835756582837606,50
matched_coord0.25,mean,4,0.0,0.0,0.0,,,0.8343341797590256,50
matched_coord0.25,pca_ridge,4,0.18268028473579792,0.18935932567576189,0.10464488801897964,0.1660548058758561,0.16863401107343112,0.8167698539793491,50
matched_coord0.25,spatial_knn,4,0.18788259594233964,0.17159885954207116,0.11668205291252885,0.1684214830436178,0.1475459606190418,0.8351092533498501,50
matched_coord0.5,mean,4,0.0,0.0,0.0,,,0.8039502662420273,50
matched_coord0.5,pca_ridge,4,0.12703153015949747,0.11826937125461762,0.09529030280299956,0.12014962945550364,0.11133658154273848,0.7948621283471584,50
matched_coord0.5,spatial_knn,4,0.11241033893147621,0.10353390991241287,0.09980365700789516,0.07332997466011391,0.05993079157663522,0.8203355172798458,50
matched_coord1.0,mean,4,0.0,0.0,0.0,,,0.7887468880414963,50
matched_coord1.0,pca_ridge,4,0.10589341463767128,0.10920449384836232,0.11452507899063302,0.10669758458556367,0.09392231875266627,0.7707628475129604,50
matched_coord1.0,spatial_knn,4,0.015292859488736758,0.01029983698236587,0.09603482802580601,0.01666844869693042,0.011175851422803352,0.7728107231873054,50
random,mean,5,0.0,0.0,0.0,,,0.8117730528116226,50
random,pca_ridge,5,0.2851014339244709,0.31955008228274456,0.15118166074484196,0.21321698514194762,0.23562024476673848,0.764658377468586,50
random,spatial_knn,5,0.2898965230681836,0.26796618407446904,0.11625347447098236,0.24536017400698776,0.2056269144087632,0.7808146728589404,50
matched_hop0,mean,5,0.0,0.0,0.0,,,0.7454125669598579,50
matched_hop0,pca_ridge,5,0.165200499385348,0.1589333605802551,0.09451354020660369,0.16014216779940416,0.15809763955172684,0.7308017171919345,50
matched_hop0,spatial_knn,5,0.13789428786675909,0.11057659678007124,0.11202417813961492,0.12713815009223653,0.08921824645869639,0.7504973078808288,50
matched_hop1,mean,5,0.0,0.0,0.0,,,0.7454125669598579,50
matched_hop1,pca_ridge,5,0.165200499385348,0.1589333605802551,0.09451354020660369,0.16014216779940416,0.15809763955172684,0.7308017171919345,50
matched_hop1,spatial_knn,5,0.13789428786675909,0.11057659678007124,0.11202417813961492,0.12713815009223653,0.08921824645869639,0.7504973078808288,50
matched_hop2,mean,5,0.0,0.0,0.0,,,0.7434014448523522,50
matched_hop2,pca_ridge,5,0.15800028626380366,0.1546188676372916,0.09282068630351994,0.1579225956126065,0.15704883880710435,0.7301238091289997,50
matched_hop2,spatial_knn,5,0.11172709192556636,0.08049969885783496,0.10464079349870929,0.10484394324648333,0.07190725255125408,0.758597397173057,50
matched_hop5,mean,5,0.0,0.0,0.0,,,0.774471520781517,50
matched_hop5,pca_ridge,5,0.15500176542662758,0.13827662996159953,0.09698143667514916,0.15858044435832017,0.14382634440398834,0.7601697078347206,50
matched_hop5,spatial_knn,5,0.046122175264121684,0.03138242951413378,0.09421973933136962,0.03904354235669985,0.032610545620834305,0.8157802354676424,50
matched_coord0.25,mean,5,0.0,0.0,0.0,,,0.7413957357406616,50
matched_coord0.25,pca_ridge,5,0.15048151565427426,0.13770878844923365,0.09125326554177662,0.15345700387871627,0.1541410512337162,0.7292315627634526,50
matched_coord0.25,spatial_knn,5,0.09061574597794599,0.054380369936527506,0.09950755577903175,0.08492962855749625,0.04868623511080522,0.7645028079319666,50
matched_coord0.5,mean,5,0.0,0.0,0.0,,,0.7489439889788627,50
matched_coord0.5,pca_ridge,5,0.14572411009408992,0.12913981112604142,0.09608705667672415,0.15044674901702998,0.1427343073593253,0.7366508954763412,50
matched_coord0.5,spatial_knn,5,0.05567293573748058,0.03783205463350309,0.0866888567547107,0.05004578921129733,0.028815675167207403,0.7851165328578726,50
random,mean,6,0.0,0.0,0.0,,,0.8143798446655274,50
random,pca_ridge,6,0.3003261898056693,0.3423692964184276,0.16024943550131132,0.22381864443624225,0.24799589631061358,0.761628982424736,50
random,spatial_knn,6,0.30142003867146366,0.27999665359489223,0.11492851585838501,0.25711602236664616,0.2234815932942533,0.7780595818153347,50
matched_hop0,mean,6,0.0,0.0,0.0,,,0.8419679382443428,50
matched_hop0,pca_ridge,6,0.2405590199475261,0.28079467455805185,0.13689744056693234,0.20117844181614639,0.22191140118588526,0.8073873454332352,50
