split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,graphsage,8,0.4165543494118646,0.4150485101490109,0.1433927532266841,0.3241634591162111,0.3252337159796805,0.7157914355397225,50
matched_hop0,graphsage,8,0.238597595325365,0.2620978767414091,0.1448000900304016,0.1917720814676323,0.210061331979257,0.708383963406086,50
patient_Br5292,graphsage,8,0.2929278275721652,0.3189790402001781,0.1344120572295683,0.2129122977300248,0.205682189368321,0.7869098424911499,50
patient_Br5595,graphsage,8,0.2242281053886587,0.2114418522435846,0.1204873445314206,0.210449408260014,0.2099182224996865,0.7141998311877251,50
patient_Br8100,graphsage,8,0.4596078246560468,0.5344726630708604,0.2319238653085557,0.379748213101375,0.416116833624733,0.7150501048564911,50
random,graphsage,9,0.4269504261390912,0.443430977530032,0.1494437380378015,0.335716389315102,0.3265552914188936,0.716960614323616,50
matched_hop0,graphsage,9,0.2416913594067406,0.261057305896742,0.1429971581467349,0.1931992579109293,0.2066809257325307,0.7075318881869316,50
random,graphsage,0,0.42810943929290374,0.45101761672706886,0.15414505504083517,0.33117328696086434,0.3372082759679671,0.721302618086338,50
matched_hop0,graphsage,0,0.24135002931221727,0.26142224023108024,0.1437687464076278,0.1934051337926302,0.20705779446072262,0.7077049113810062,50
patient_Br5292,graphsage,0,0.29786396899575923,0.32029807225352747,0.1328008939655954,0.21625749697199917,0.20682510363223733,0.7848767912387848,50
patient_Br5595,graphsage,0,0.2241174611123272,0.2188539125881722,0.12287753438871456,0.20940982447004003,0.21700428191424045,0.7133463168144226,50
patient_Br8100,graphsage,0,0.460130277398949,0.52880577659098,0.22930459026461672,0.378460625446137,0.418344212660433,0.7161446997523307,50
random,graphsage,1,0.4305332008298104,0.4587472601255247,0.14875305455552779,0.3333655495430638,0.3259497784034849,0.7201615521311759,50
matched_hop0,graphsage,1,0.24089616693114277,0.26264266760471644,0.1455773335084674,0.1935206034617575,0.2137562896214665,0.7074392394721508,50
random,graphsage,2,0.4270880058555242,0.4351758084591121,0.13792714557795785,0.3332919466235623,0.3375709732031443,0.7191848042607307,50
matched_hop0,graphsage,2,0.35655292578761427,0.38260019769203657,0.1547599724446317,0.30237288436004917,0.3047846352842838,0.7621142911911011,50
random,graphsage,3,0.4337958844699204,0.4724090617057579,0.15368158912570798,0.3354818122244815,0.33502933226606935,0.7222814667224884,50
matched_hop0,graphsage,3,0.24033665887666428,0.2641777422651778,0.14519773071542902,0.19245191077173796,0.2061493131939235,0.7080162519216537,50
random,graphsage,4,0.41997097652623766,0.4318874200812265,0.14504513210658598,0.3233026079170267,0.3214276046077874,0.7192393645644188,50
matched_hop0,graphsage,4,0.24154773840384994,0.26156671351086747,0.1441924890704358,0.1972355043439683,0.21340599974356603,0.7076910611987114,50
random,graphsage,5,0.4191430680424821,0.43846758695117694,0.14519567232423644,0.3242011112270219,0.32024633944787806,0.7177708330750465,50
matched_hop0,graphsage,5,0.2538424976132584,0.2691142135843557,0.11681662068808017,0.21283066233059206,0.20369890866601456,0.71061578348279,50
random,graphsage,6,0.4289607633585938,0.4520389131110699,0.15267626929148387,0.3361164152575922,0.3351250185947408,0.7149277749657631,50
matched_hop0,graphsage,6,0.24036504741375717,0.2611123532084305,0.1414222872204662,0.19215336863881174,0.20550833402813126,0.7082743322849274,50
random,graphsage,7,0.42320367135281706,0.43467031578951265,0.14640524017744513,0.3264578803505404,0.3208978181722444,0.7198721951246262,50
matched_hop0,graphsage,7,0.2530781506995644,0.26869885088130174,0.11670841889927683,0.2128661302853279,0.2088185331973147,0.7110745333135128,50
