split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,mean,0,0.0,0.0,0.0,,,0.42625422492623327,50
random,pca_ridge,0,0.11045353846914954,0.07544334606857234,0.12325720571569614,0.08929379007675639,0.06240754413832912,0.4163030779361725,50
random,spatial_knn,0,0.09164874044247905,0.0706851626777967,0.1000990503189539,0.08123509106729983,0.07423935113621033,0.4348939654010702,50
matched_hop0,mean,0,0.0,0.0,0.0,,,0.4108555058389902,50
matched_hop0,pca_ridge,0,0.06908841132862373,0.049445789555780176,0.0692224727239849,0.07043092928620753,0.0641999177060251,0.4076719386130571,50
matched_hop0,spatial_knn,0,0.04606071269149977,0.018956872921069436,0.07800544971996534,0.04110172322909851,0.017732142665389326,0.4175922648567814,50
patient_Br5292,mean,0,0.0,0.0,0.0,,,0.45247705645859243,50
patient_Br5292,pca_ridge,0,0.06777201434514661,0.03303666963898567,0.07921089667712157,0.05356317258665522,0.03413586206763683,0.4480276837944984,50
patient_Br5292,spatial_knn,0,0.07824636928704351,0.03596110483990439,0.09310717232005634,0.06839543101448736,0.03583310325745613,0.4635251398155357,50
patient_Br5595,mean,0,0.0,0.0,0.0,,,0.39013680033385756,50
patient_Br5595,pca_ridge,0,0.05427512327170467,0.042857307865219935,0.0530899032367199,0.05505077091845032,0.04853417992376059,0.38975904367864134,50
patient_Br5595,spatial_knn,0,0.06729915290632699,0.030827709224517174,0.09045731841253958,0.06395623457747508,0.03357695918247307,0.41552631377379595,50
patient_Br8100,mean,0,0.0,0.0,0.0,,,0.43359349071979525,50
patient_Br8100,pca_ridge,0,0.11971352060429964,0.03546456984859851,0.1661817287116232,0.10282749049116707,0.05435235077673056,0.4207808245718479,50
patient_Br8100,spatial_knn,0,0.08521872269301564,0.03373082687211651,0.10491128569004882,0.07738716662626587,0.04081443046756724,0.44253891339465823,50
random,mean,1,0.0,0.0,0.0,,,0.4278303276002407,50
