split,model,seed,gene,pearson,spearman,rmse
random,graphsage,8,SCGB2A2,0.6135356416538125,0.6205146694608569,1.2115784883499146
random,graphsage,8,SCGB1D2,0.5355339246031074,0.5280172342178764,1.0023524761199951
random,graphsage,8,MBP,0.6940152723289916,0.6484343804884329,0.8527365326881409
random,graphsage,8,GFAP,0.6000199015673096,0.5034914428137803,0.958113133907318
random,graphsage,8,PLP1,0.6394323635951769,0.5374991065385559,0.9742329716682434
random,graphsage,8,SAA1,0.3945284998070925,0.3566458697407242,0.7707486152648926
random,graphsage,8,MGP,0.3685674592289117,0.3385111806985579,0.976975679397583
random,graphsage,8,IGKC,0.2244991741642517,0.1773657883435453,1.0079805850982666
random,graphsage,8,FABP4,0.3599158813031977,0.3108609173608251,0.7144808173179626
random,graphsage,8,MOBP,0.6122282670575518,0.3916273392196613,0.6573255658149719
random,graphsage,8,HBB,0.1984387674090427,0.1779983698565535,0.8180508017539978
random,graphsage,8,NEFL,0.5103542166929017,0.4677414276770828,0.8731646537780762
random,graphsage,8,TF,0.5745096281260882,0.4012610899954509,0.7685299515724182
random,graphsage,8,IGHG3,0.1991425542290537,0.1494515156834415,0.4859716594219208
random,graphsage,8,CNP,0.5462471474082214,0.3880016556903966,0.8865978717803955
random,graphsage,8,CPB1,0.2824782497117563,0.2253759432206108,0.4487249255180359
random,graphsage,8,CRYAB,0.4827491655741154,0.3734523288965757,0.947507917881012
random,graphsage,8,IGHA1,0.2100202163781228,0.1702817377608233,0.6294832825660706
random,graphsage,8,KRT8,0.3949189222334548,0.3237987063151786,0.8235949873924255
random,graphsage,8,MUC1,0.4156566061276738,0.4087156303494128,0.8725404739379883
random,graphsage,8,KRT19,0.3925841174937526,0.3711246217691312,0.9315574765205384
random,graphsage,8,IGLC2,0.1755298330652099,0.1351558999895852,0.6796227097511292
random,graphsage,8,TFF1,0.3781795493701022,0.3573362756243759,0.7494576573371887
random,graphsage,8,MAG,0.5180991212011762,0.3404098649540746,0.6083181500434875
random,graphsage,8,ERMN,0.5538742034899493,0.3361139584304496,0.5087846517562866
random,graphsage,8,CLDN11,0.532288919168857,0.3266687256441824,0.5676785707473755
random,graphsage,8,CLDND1,0.5162414172577515,0.3541757224131876,0.7432570457458496
random,graphsage,8,SPP1,0.533574914654295,0.350533103813554,0.6395058035850525
random,graphsage,8,PPP1R14A,0.4946419026433282,0.314662602570187,0.6825974583625793
random,graphsage,8,S100B,0.4117185069635231,0.3301658473251151,0.9421002864837646
random,graphsage,8,MOG,0.5445031753764551,0.316646685081537,0.4334651827812195
random,graphsage,8,MALAT1,0.3330752148840288,0.3667074431629826,0.9898369312286376
random,graphsage,8,CARNS1,0.5224046850190666,0.3155973414652615,0.4661057293415069
random,graphsage,8,IGHG4,0.1512764385040816,0.1167243677790376,0.4660846292972564
random,graphsage,8,KRT18,0.3891954225873323,0.3275761552983189,0.764604926109314
random,graphsage,8,BCAS1,0.5013335253210867,0.3228600497518091,0.5689201354980469
random,graphsage,8,PTGDS,0.3456255778057784,0.2893089953108576,0.8854486346244812
random,graphsage,8,SAA2,0.2265306092759479,0.2124428099905506,0.3610373735427856
random,graphsage,8,SEPT4,0.4454606775087173,0.3572868257466033,0.7461126446723938
random,graphsage,8,TFF3,0.3236597558936567,0.3140912234692011,0.8059459924697876
random,graphsage,8,HPCAL1,0.4000944484269716,0.377824884328704,0.8442583084106445
random,graphsage,8,S100A11,0.3657679926670362,0.2980747193592274,0.8061937093734741
random,graphsage,8,ALB,-0.0016330093316841,-0.00186029036349,0.1625801771879196
random,graphsage,8,RNASE1,0.432774636449707,0.2900022500681209,0.7543076276779175
random,graphsage,8,TMEM144,0.4682662399148537,0.2786985076489355,0.4808846712112427
random,graphsage,8,ENPP2,0.4780745164058786,0.3199282695402659,0.5589168667793274
random,graphsage,8,MAL,0.4143080853543756,0.2619116913264978,0.5836935639381409
random,graphsage,8,NKX6-2,0.4144404141703479,0.251074068765903,0.4279375076293945
random,graphsage,8,HSPA2,0.4384842692227312,0.2503476975501879,0.5157149434089661
random,graphsage,8,G0S2,0.2705504506290863,0.2275363036678531,0.4339510202407837
matched_hop0,graphsage,8,SCGB2A2,0.2653538380600954,0.2516038700327509,1.2861486673355105
matched_hop0,graphsage,8,SCGB1D2,0.2343456178715235,0.2165250294286821,1.0638902187347412
matched_hop0,graphsage,8,MBP,0.6307417401345484,0.6275493367396467,0.7639592289924622
matched_hop0,graphsage,8,GFAP,0.4339345539791051,0.3344561037386142,0.925248384475708
matched_hop0,graphsage,8,PLP1,0.5355204581359501,0.4829459479600085,0.932603120803833
matched_hop0,graphsage,8,SAA1,0.0062500875093179,0.0010472550329731,0.5906681418418884
matched_hop0,graphsage,8,MGP,0.1426103550486096,0.1196546436643963,0.9190940260887146
matched_hop0,graphsage,8,IGKC,0.0819303478731379,0.0734425761213306,1.0222171545028689
matched_hop0,graphsage,8,FABP4,-0.0166456825266921,-0.0153605221790925,0.5453596115112305
matched_hop0,graphsage,8,MOBP,0.4013838008190365,0.2819013253537167,0.6670895218849182
matched_hop0,graphsage,8,HBB,0.1021578060666994,0.073707921214751,0.8819735646247864
matched_hop0,graphsage,8,NEFL,0.3463219184136435,0.2662666267323939,0.8256274461746216
matched_hop0,graphsage,8,TF,0.4174171959739569,0.3217558151777681,0.7721006274223328
matched_hop0,graphsage,8,IGHG3,-0.0040639108801306,0.0072005848113434,0.5887986421585083
matched_hop0,graphsage,8,CNP,0.3890956096277624,0.2948448031795024,0.8918167352676392
matched_hop0,graphsage,8,CPB1,0.1033581888471888,0.1020735434857101,0.8217867612838745
matched_hop0,graphsage,8,CRYAB,0.313477367845365,0.2303090093768328,0.9183602929115297
matched_hop0,graphsage,8,IGHA1,0.0535645023613424,0.0541352666566015,0.5495942831039429
matched_hop0,graphsage,8,KRT8,0.2420644935602131,0.2096234592681844,0.8141307830810547
matched_hop0,graphsage,8,MUC1,0.2508121386822809,0.2285472788097645,0.871441125869751
matched_hop0,graphsage,8,KRT19,0.3595768512322189,0.3459823718036486,1.0302555561065674
matched_hop0,graphsage,8,IGLC2,0.0684851452737208,0.0623577903182876,0.699288010597229
matched_hop0,graphsage,8,TFF1,0.1300811308965313,0.122934219045905,0.7046331763267517
matched_hop0,graphsage,8,MAG,0.3535878589614961,0.2462018277672144,0.6180054545402527
matched_hop0,graphsage,8,ERMN,0.3570227247721668,0.2409443957972298,0.5117325782775879
matched_hop0,graphsage,8,CLDN11,0.3432870089424844,0.2309432733264544,0.5533162951469421
matched_hop0,graphsage,8,CLDND1,0.3208702558610929,0.2489169492448961,0.7686522006988525
matched_hop0,graphsage,8,SPP1,0.3556724613255276,0.2804856465040508,0.6372376680374146
matched_hop0,graphsage,8,PPP1R14A,0.2903487357359859,0.2105708129097566,0.693021833896637
matched_hop0,graphsage,8,S100B,0.2057493111813791,0.1348866955303345,0.915398120880127
matched_hop0,graphsage,8,MOG,0.2835029222588742,0.1827842784606583,0.4304070770740509
matched_hop0,graphsage,8,MALAT1,0.2040821086779691,0.2376650229745232,0.9614988565444946
matched_hop0,graphsage,8,CARNS1,0.310015303663748,0.2061782756750337,0.4767756164073944
matched_hop0,graphsage,8,IGHG4,0.0317008892758731,0.0401067165755316,0.5666638016700745
matched_hop0,graphsage,8,KRT18,0.2541074048708784,0.2131084778331936,0.7751666903495789
matched_hop0,graphsage,8,BCAS1,0.2794086833952506,0.2170698266472586,0.5690737962722778
matched_hop0,graphsage,8,PTGDS,0.1929417525731877,0.1633311863839485,0.8480514287948608
matched_hop0,graphsage,8,SAA2,-0.010817342402929,-0.0031095830693589,0.2052743285894394
matched_hop0,graphsage,8,SEPT4,0.2928073334023988,0.2442518156597821,0.7603360414505005
matched_hop0,graphsage,8,TFF3,0.2617475882327603,0.2340640919398447,0.8183518052101135
matched_hop0,graphsage,8,HPCAL1,0.3381517939350394,0.2971498296965297,0.8164125084877014
matched_hop0,graphsage,8,S100A11,0.1998346161443677,0.170999129314408,0.761581301689148
matched_hop0,graphsage,8,ALB,0.0046728814564693,0.0010215063659555,0.0903705060482025
matched_hop0,graphsage,8,RNASE1,0.2828174392583029,0.2104992046903297,0.7535966038703918
matched_hop0,graphsage,8,TMEM144,0.2344138567560023,0.177995580202567,0.4791738092899322
matched_hop0,graphsage,8,ENPP2,0.282989456063683,0.203831296199944,0.5679296255111694
matched_hop0,graphsage,8,MAL,0.2637073699643074,0.1748731964694468,0.5646278858184814
matched_hop0,graphsage,8,NKX6-2,0.2435096950628034,0.1514892770388736,0.4144248068332672
matched_hop0,graphsage,8,HSPA2,0.262448165250058,0.1756224146168047,0.4920671582221985
matched_hop0,graphsage,8,G0S2,0.0035259368436514,0.0032186728526839,0.2839652895927429
patient_Br5292,graphsage,8,SCGB2A2,0.4373629567894647,0.4551478981657199,1.4892618656158447
patient_Br5292,graphsage,8,SCGB1D2,0.357485236990582,0.3571145733503829,1.2079570293426514
patient_Br5292,graphsage,8,MBP,0.5191811778202376,0.4582654153309358,1.126819372177124
patient_Br5292,graphsage,8,GFAP,0.5579761727863732,0.5143907483780252,1.11797297000885
patient_Br5292,graphsage,8,PLP1,0.4908798869396618,0.3835260721970132,1.1359392404556274
patient_Br5292,graphsage,8,SAA1,0.244989406999161,0.2304911539927871,0.8864211440086365
patient_Br5292,graphsage,8,MGP,0.2638641059009906,0.2499132072074461,1.105994462966919
patient_Br5292,graphsage,8,IGKC,0.1279273518347109,0.1153024837570606,1.086551547050476
patient_Br5292,graphsage,8,FABP4,0.2328811532698206,0.2180912079954901,0.7976481914520264
patient_Br5292,graphsage,8,MOBP,0.4659493042529736,0.2279254051164703,0.690075159072876
patient_Br5292,graphsage,8,HBB,-0.0205894089492646,-0.021034074747031,0.8927642703056335
patient_Br5292,graphsage,8,NEFL,0.4856795609268268,0.4480482709614302,0.9906602501869202
patient_Br5292,graphsage,8,TF,0.420299925342861,0.247838952464631,0.8008649349212646
patient_Br5292,graphsage,8,IGHG3,0.0513352162335611,0.0405890216045616,0.5326730608940125
patient_Br5292,graphsage,8,CNP,0.3736570018971614,0.2268957652193008,0.9756914973258972
patient_Br5292,graphsage,8,CPB1,0.0712888341517048,0.0888443177964738,0.5005582571029663
patient_Br5292,graphsage,8,CRYAB,0.3626786833745976,0.2529104093017953,1.0691832304000854
patient_Br5292,graphsage,8,IGHA1,0.1026197708923189,0.0931871659559865,0.7068339586257935
patient_Br5292,graphsage,8,KRT8,0.3239448840361884,0.2741616912948592,0.9211931228637696
patient_Br5292,graphsage,8,MUC1,0.3151778252676872,0.3097531749969949,0.9983829855918884
patient_Br5292,graphsage,8,KRT19,0.2995000035166171,0.2880666915260891,1.0360023975372314
patient_Br5292,graphsage,8,IGLC2,0.0926769674854966,0.0868317039698964,0.7491204142570496
patient_Br5292,graphsage,8,TFF1,0.2524199559917189,0.2429162554854606,0.861948549747467
patient_Br5292,graphsage,8,MAG,0.383777661120343,0.1912874108081291,0.58138108253479
patient_Br5292,graphsage,8,ERMN,0.4100762209736018,0.1807735656540548,0.4806627333164215
patient_Br5292,graphsage,8,CLDN11,0.3809960073670434,0.1681777076956642,0.5383380651473999
patient_Br5292,graphsage,8,CLDND1,0.3433180986583772,0.1922582641494738,0.776350200176239
patient_Br5292,graphsage,8,SPP1,0.3778001596306147,0.2034328078644174,0.637985348701477
patient_Br5292,graphsage,8,PPP1R14A,0.3672770892513902,0.1774683094699725,0.7130883932113647
patient_Br5292,graphsage,8,S100B,0.3338434396304773,0.3049861937890898,1.081348180770874
patient_Br5292,graphsage,8,MOG,0.3803064424305759,0.1681438551135718,0.4366412162780761
patient_Br5292,graphsage,8,MALAT1,0.1970845380063625,0.2305740624748483,1.1121256351470947
patient_Br5292,graphsage,8,CARNS1,0.339511236822944,0.1393712343468573,0.4390413463115692
patient_Br5292,graphsage,8,IGHG4,0.0461898751617166,0.0423972604721517,0.4963550567626953
patient_Br5292,graphsage,8,KRT18,0.2974731682061573,0.2524401767200176,0.838616669178009
patient_Br5292,graphsage,8,BCAS1,0.3230263447347102,0.1739005236511014,0.5641710758209229
patient_Br5292,graphsage,8,PTGDS,0.27152490928306,0.2518753031470551,1.0333460569381714
