dataset,platform,model,random_perf,spatial_strict_perf,patient_strict_perf,RLI_spatial,RLI_patient,Retention_spatial,Retention_patient,MoranI,patient_count,section_count
Andersson,ST_v1,pca_ridge,0.6040109346365726,0.3913154642468525,0.2039228056079352,0.3521384435162534,0.6623855729853078,0.6478615564837467,0.3376144270146922,0.1460117385721635,8,36
Andersson,ST_v1,spatial_knn,0.0345054751565615,0.0613760991198219,-0.0094227507014559,,,,,0.1460117385721635,8,36
DLPFC,Visium_DLPFC,pca_ridge,0.2915768675325207,0.1959264348358189,0.2295891052880601,0.3280453401744346,0.2125949248616126,0.6719546598255653,0.7874050751383874,0.2557205589689326,3,12
DLPFC,Visium_DLPFC,spatial_knn,0.2969292337082818,0.1774287003867675,0.2613474237234975,0.4024545910454799,0.1198326265838197,0.59754540895452,0.8801673734161802,0.2557205589689326,3,12
Thrane,ST_v1,pca_ridge,0.6532214941268585,0.6577082182985159,0.3270526301112907,-0.0068686107422945,0.499323532596777,1.0068686107422946,0.500676467403223,0.2157793085541463,4,8
Thrane,ST_v1,spatial_knn,0.0028000700604244,0.0103650920821211,0.0147073341047387,,,,,0.2157793085541463,4,8
Visium breast,Visium_breast,pca_ridge,0.5972968907724414,0.4424223982699787,,0.2592923132450507,,0.7407076867549492,,0.5534418850763051,1,2
Visium breast,Visium_breast,spatial_knn,0.648544270388867,0.1322212603385465,,0.7961260836376417,,0.2038739163623582,,0.5534418850763051,1,2
Andersson,ST_v1,graphsage_trainonly,0.2520455298143485,0.23323963629145025,0.07688586124825013,0.07461308096497604,0.6949524901120735,0.9253869190350239,0.3050475098879264,0.14601173857216357,8,36
Thrane,ST_v1,graphsage_trainonly,0.3038752969972566,,0.08767207641439764,,0.7114866615327763,,0.28851333846722377,0.21577930855414632,4,8
Visium breast,Visium_breast,graphsage_trainonly,0.29146753870788067,0.21418801071585936,,0.265139398831901,,0.734860601168099,,0.5534418850763051,1,2
