split,model,seed,gene,pearson,spearman,rmse
random,graphsage,0,ENSG00000107317,0.5263753860884157,0.432456962335382,0.6710081100463867
random,graphsage,0,ENSG00000019582,0.7750127925306036,0.7809521712166867,0.8028577566146851
random,graphsage,0,ENSG00000172724,0.5940211679012674,0.5162430267722202,0.6201016902923584
random,graphsage,0,ENSG00000168542,0.6410150491069191,0.603484284214151,0.9286614656448364
random,graphsage,0,ENSG00000145824,0.5010975120465935,0.47730501948699794,0.4644318222999573
random,graphsage,0,ENSG00000196616,0.5001883074447694,0.40065562840401175,0.25417858362197876
random,graphsage,0,ENSG00000160180,0.0,,0.2749319076538086
random,graphsage,0,ENSG00000133110,0.694950349216833,0.6844163639152789,0.8189541101455688
random,graphsage,0,ENSG00000240583,0.8204670925428811,0.7283275587467801,0.692320704460144
random,graphsage,0,ENSG00000187608,0.6317640283355431,0.4899392995489328,0.7265911102294922
random,graphsage,0,ENSG00000181617,0.6363164135247749,0.563168452638053,0.38027435541152954
random,graphsage,0,ENSG00000197766,0.33151515771514023,0.32517606981340674,0.6386229395866394
random,graphsage,0,ENSG00000170323,0.0,,0.20400770008563995
random,graphsage,0,ENSG00000148671,0.42409617618203527,0.2799238786641092,0.4436591863632202
random,graphsage,0,ENSG00000137077,0.7225601923327098,0.5775266456296827,0.7420641183853149
random,graphsage,0,ENSG00000167286,0.42831200907595185,0.3337047838963463,0.39727842807769775
random,graphsage,0,ENSG00000184113,0.4657214186663037,0.4083010906284772,0.5683225393295288
random,graphsage,0,ENSG00000119922,0.18731380190884273,0.16839514419796367,0.3426752984523773
random,graphsage,0,ENSG00000105894,0.9395435404227086,0.9035930562039263,0.43133166432380676
random,graphsage,0,ENSG00000160307,0.863673369016248,0.8838256039173571,0.7882331609725952
random,graphsage,0,ENSG00000163017,0.4258262861663718,0.34297788661078005,0.3356962203979492
random,graphsage,0,ENSG00000170345,0.3488489960496484,0.30981365891031337,0.7289588451385498
random,graphsage,0,ENSG00000049540,0.28866124272726995,0.25967624726663896,0.4411791265010834
random,graphsage,0,ENSG00000099250,0.14904504289464823,0.17617058330667093,0.5269094705581665
random,graphsage,0,ENSG00000110079,0.3454003077025045,0.24785906956128256,0.32107648253440857
random,graphsage,0,ENSG00000163431,0.11712743153877561,0.2154645882953357,0.29714399576187134
random,graphsage,0,ENSG00000188536,0.1387738872416179,0.03296744860160284,0.2536078095436096
random,graphsage,0,ENSG00000167641,0.0,,0.28645938634872437
random,graphsage,0,ENSG00000184564,0.0,,0.12908750772476196
random,graphsage,0,ENSG00000148700,0.03628638938652953,0.055667748122198824,0.5944291353225708
random,graphsage,0,ENSG00000261857,0.8196217701654683,0.8324626169312448,0.7684357762336731
random,graphsage,0,ENSG00000012223,-0.013483213429427232,-0.016764668123127893,0.13824497163295746
random,graphsage,0,ENSG00000077984,0.19025416167447318,0.18439031435091344,0.35100191831588745
random,graphsage,0,ENSG00000232810,0.18504047951979816,0.1505455183416501,0.11225743591785431
random,graphsage,0,ENSG00000162614,0.0,,0.27387356758117676
random,graphsage,0,ENSG00000244734,0.0,,0.04741964116692543
random,graphsage,0,ENSG00000185404,0.10414434806125215,0.16096170200220397,0.39911970496177673
random,graphsage,0,ENSG00000129757,0.12878870337185228,0.08986138287118227,0.36288967728614807
random,graphsage,0,ENSG00000150093,0.15443003831626365,0.15589569868227557,0.4626327157020569
random,graphsage,0,ENSG00000013297,0.0,,0.1699831783771515
random,graphsage,0,ENSG00000113739,0.0,,0.08625276386737823
random,graphsage,0,ENSG00000174607,0.0,0.0,0.0
random,graphsage,0,ENSG00000110693,0.23315244824577214,0.1716251318059773,0.3337201774120331
random,graphsage,0,ENSG00000131435,0.694174757909839,0.7254908973929716,0.43082255125045776
random,graphsage,0,ENSG00000108387,-0.046458752761527215,-0.0646890018410471,0.34628891944885254
random,graphsage,0,ENSG00000196664,0.0,,0.1856514811515808
random,graphsage,0,ENSG00000164330,-0.019185524652359936,0.03316472091254826,0.2734587788581848
random,graphsage,0,ENSG00000094963,0.0,,0.1641552448272705
random,graphsage,0,ENSG00000189056,-0.008272643505036028,-0.008601933430446393,0.21236754953861237
random,graphsage,0,ENSG00000151532,-0.04534011855767597,-0.06373174247689209,0.252536416053772
patient_mel1_,graphsage,0,ENSG00000107317,0.5195757451705036,0.5155217442869956,0.909801185131073
patient_mel1_,graphsage,0,ENSG00000019582,0.6946080673913191,0.7254437692958385,1.150957703590393
patient_mel1_,graphsage,0,ENSG00000172724,0.2835261532831302,0.35061310089140774,0.9417892694473267
patient_mel1_,graphsage,0,ENSG00000168542,0.5732284370023122,0.5647719543116422,0.9389937520027161
patient_mel1_,graphsage,0,ENSG00000145824,0.0920618888420959,0.1760741223693725,0.8084103465080261
patient_mel1_,graphsage,0,ENSG00000196616,0.0,,0.5848901867866516
patient_mel1_,graphsage,0,ENSG00000160180,0.0,,0.2879243493080139
patient_mel1_,graphsage,0,ENSG00000133110,-0.010939260968414775,-0.028051374599818237,1.4687058925628662
patient_mel1_,graphsage,0,ENSG00000240583,0.07389967708557128,0.08149669011503938,0.8676729202270508
patient_mel1_,graphsage,0,ENSG00000187608,0.1023227753126769,0.13258512975481965,0.7585512399673462
patient_mel1_,graphsage,0,ENSG00000181617,0.0,,1.018510341644287
patient_mel1_,graphsage,0,ENSG00000197766,0.08102971765519884,0.1014107721205074,0.9979179501533508
