slide,split,model,seed,gene,pearson,spearman,rmse
mel1_rep1,random,mean,0,ENSG00000107317,,,0.7978749871253967
mel1_rep1,random,mean,0,ENSG00000019582,0.0,,1.2416452169418335
mel1_rep1,random,mean,0,ENSG00000172724,,,0.9146916270256042
mel1_rep1,random,mean,0,ENSG00000168542,,,1.3241156339645386
mel1_rep1,random,mean,0,ENSG00000145824,0.0,,1.0667718648910522
mel1_rep1,random,mean,0,ENSG00000196616,0.0,,0.5080296993255615
mel1_rep1,random,mean,0,ENSG00000160180,,,0.17616122961044312
mel1_rep1,random,mean,0,ENSG00000133110,0.0,,1.0743725299835205
mel1_rep1,random,mean,0,ENSG00000240583,,,1.0765126943588257
mel1_rep1,random,mean,0,ENSG00000187608,0.0,,0.7584050893783569
mel1_rep1,random,mean,0,ENSG00000181617,0.0,,0.7790036797523499
mel1_rep1,random,mean,0,ENSG00000197766,0.0,,0.7476633787155151
mel1_rep1,random,mean,0,ENSG00000170323,0.0,,0.19749926030635834
mel1_rep1,random,mean,0,ENSG00000148671,0.0,,0.7734723091125488
mel1_rep1,random,mean,0,ENSG00000137077,0.0,,1.0906425714492798
mel1_rep1,random,mean,0,ENSG00000167286,0.0,,0.5453704595565796
mel1_rep1,random,mean,0,ENSG00000184113,0.0,,0.8835617303848267
mel1_rep1,random,mean,0,ENSG00000119922,0.0,,0.38967812061309814
mel1_rep1,random,mean,0,ENSG00000105894,0.0,0.0,0.6080988049507141
mel1_rep1,random,mean,0,ENSG00000160307,0.0,,1.8721152544021606
mel1_rep1,random,mean,0,ENSG00000163017,0.0,,0.46596813201904297
mel1_rep1,random,mean,0,ENSG00000170345,,,0.7362443208694458
mel1_rep1,random,mean,0,ENSG00000049540,0.0,,0.42715218663215637
mel1_rep1,random,mean,0,ENSG00000099250,0.0,,0.5158910155296326
mel1_rep1,random,mean,0,ENSG00000110079,,,0.145997554063797
mel1_rep1,random,mean,0,ENSG00000163431,0.0,,0.3557113707065582
