split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,mean,0,0.0,0.0,0.0,,,0.5442839558174213,150
random,pca_ridge,0,0.32101823769851023,0.21797533365885466,0.2660796149428325,0.3007126245038527,0.21929984257100768,0.44787573436896005,150
random,spatial_knn,0,-0.0230114102858741,-0.029740617881231782,0.07527675777295734,-0.02413699394922463,-0.02705275662573385,0.5820543534581858,150
patient_mel1_,mean,0,0.0,0.0,0.0,0.0,0.0,0.6277060394237439,150
patient_mel1_,pca_ridge,0,0.19046579080974854,0.11737869143005174,0.2220709353536373,0.20678273332394528,0.13439977956950833,0.5647600566844145,150
patient_mel1_,spatial_knn,0,0.008004741270041773,-0.005251348851802791,0.06310120813548989,0.003516832994000045,-0.0006814713896211876,0.6532469843067185,150
patient_mel2_,mean,0,0.0,0.0,0.0,0.0,0.0,0.6038415370012323,150
patient_mel2_,pca_ridge,0,0.1802657002922146,0.08408266452168099,0.21035202716190693,0.17925064920607506,0.10310228176488222,0.568999422006309,150
patient_mel2_,spatial_knn,0,0.00254990607212875,0.0008826096445104631,0.055025568149400995,-0.00015385850744362652,-0.0011884488102204087,0.6286911274310476,150
patient_mel3_,mean,0,0.0,0.0,0.0,0.0,0.0,0.5281726128111283,150
patient_mel3_,pca_ridge,0,0.07364577178431128,0.04442357525940558,0.12583235964864492,0.07974441615871243,0.05335842357198986,0.5207751430819432,150
patient_mel3_,spatial_knn,0,0.01012836352382313,-0.0005183006246886771,0.06639908166749553,0.011802287086740396,0.003977527881087057,0.5695367259023,150
patient_mel4_,mean,0,0.0,0.0,0.0,0.0,0.0,0.4427443781370918,150
patient_mel4_,pca_ridge,0,0.10526746458419257,0.07185549543844275,0.15048801731442155,0.1068697332809683,0.07815458899407748,0.42965626599888007,150
patient_mel4_,spatial_knn,0,0.0027769818717454722,-0.002892511652394297,0.05956076883497289,0.006178235163319693,0.004368486944584029,0.48805514137587785,150
random,mean,1,0.0,0.0,0.0,,,0.5454176748481889,150
random,pca_ridge,1,0.30833701749146275,0.2251868332848073,0.26381162770169597,0.28768667171512147,0.222747308946008,0.4548221123715242,150
random,spatial_knn,1,-0.0014503907710679694,-0.006267722060962957,0.07098213979203193,0.001160245002901201,-0.0026797650920021517,0.5774815538260689,150
random,mean,2,0.0,0.0,0.0,,,0.5494740538733701,150
random,pca_ridge,2,0.3131743969418806,0.2128649166492038,0.2764320586372564,0.2932854506622392,0.2113534945822574,0.44896899607032537,150
random,spatial_knn,2,-0.013724602678841845,-0.0284555744795148,0.06850461234508412,-0.006979288848972554,-0.019322099749817086,0.5845383883766504,150
random,mean,3,0.0,0.0,0.0,,,0.535928484108299,150
random,pca_ridge,3,0.31464319902578525,0.21589099577222226,0.2774485952601398,0.2925577978125631,0.23130874932480253,0.43906560743848483,150
random,spatial_knn,3,-0.003708104500333534,-0.011847915784024582,0.06852347782752675,0.0020037508013979444,-0.0021724363698236468,0.5685791656736777,150
random,mean,4,0.0,0.0,0.0,,,0.5607698224981625,150
random,pca_ridge,4,0.31345592609913536,0.2085171325518501,0.28411980558515976,0.30498573720802646,0.20179845312334935,0.4575939447184404,150
random,spatial_knn,4,0.004831457318036577,-0.007394930055102467,0.06412941740502294,0.007405702834720604,0.011808271947298082,0.5894052356943962,150
