split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,graphsage,0,0.28639345663026683,0.2941251299555994,0.25121033345196164,0.29456787737980095,0.2629375779997041,0.28496688292646893,49
matched_hop5,graphsage,0,0.20666130538209784,0.11388303208527455,0.2539891636578797,0.23860620102000604,0.1656228109764034,0.2333470992743969,49
random,graphsage,1,0.2862296439615301,0.2733587247804556,0.24065666622867093,0.2804393631511553,0.2514461847206763,0.27764845382878367,49
matched_hop5,graphsage,1,0.21343803455035923,0.1544247348388577,0.24818697650806099,0.2316941659635729,0.1429624882237764,0.2314406583959959,49
random,graphsage,2,0.2961447557099412,0.2831918698854672,0.24333706734068677,0.27101360044024564,0.22036720017774153,0.27501734285330287,49
matched_hop5,graphsage,2,0.2221125875303586,0.15586316163028466,0.2473398233615574,0.23415224121022976,0.17096040686591712,0.23158281562583788,49
random,graphsage,3,0.2902607294046069,0.2717713728763569,0.24509590430673603,0.27893406982638663,0.24405591811674013,0.286707283168727,49
matched_hop5,graphsage,3,0.21580258749392536,0.13842195181314934,0.2555236588038574,0.222279523170445,0.12396473471419597,0.2323119871470393,49
random,graphsage,4,0.287356758913202,0.29588780518486046,0.24199393043461578,0.2621732837983457,0.25008469843562225,0.2835279206308175,49
matched_hop5,graphsage,4,0.2094998513112171,0.1124096354067467,0.2532841769262105,0.23215546969144377,0.15293910824113982,0.23350101306426282,49
