split,model,seed,gene,pearson,spearman,rmse
random,mean,0,CRISP3,,,0.8796875476837158
random,mean,0,CPB1,,,0.9796189069747925
random,mean,0,IGHG3,,,0.9542615413665771
random,mean,0,CD74,0.0,,0.572238028049469
random,mean,0,IGLC2,,,1.1188240051269531
random,mean,0,HLA-B,0.0,,0.4516531229019165
random,mean,0,IGKC,,,0.9883736371994019
random,mean,0,MALAT1,,,0.7728661894798279
random,mean,0,ALB,,,0.7111752033233643
random,mean,0,IGHG4,0.0,,0.7398207783699036
random,mean,0,TFF3,,,0.5960535407066345
random,mean,0,CXCL14,0.0,,0.8153858780860901
random,mean,0,IGHG1,,,0.9065605998039246
random,mean,0,SLITRK6,,,0.5119030475616455
random,mean,0,APOE,0.0,,0.6569218039512634
random,mean,0,MT-ND2,,,0.5803289413452148
random,mean,0,CALML5,0.0,,0.5291932225227356
random,mean,0,HLA-DRA,,,0.619123637676239
random,mean,0,S100G,,,0.8013894557952881
random,mean,0,LINC00645,0.0,,0.5186884999275208
random,mean,0,C3,,,0.7719361782073975
random,mean,0,IGLC3,0.0,,0.8764513731002808
random,mean,0,IGLC1,0.0,,0.8736432790756226
random,mean,0,TIMP1,,,0.7447004914283752
random,mean,0,APOC1,,,0.6839209794998169
random,mean,0,TFF1,0.0,,0.7092627286911011
random,mean,0,SCGB2A2,0.0,,0.7659688591957092
random,mean,0,SCGB1D2,0.0,,0.7681206464767456
random,mean,0,SERPINA3,,,0.6606450080871582
random,mean,0,LINC00052,,,0.2809836268424988
random,mean,0,AGR2,,,0.6240531206130981
random,mean,0,C6orf141,,,0.4293552339076996
random,mean,0,LYZ,0.0,,0.7267765402793884
random,mean,0,CTSD,,,0.4792576730251312
random,mean,0,HEBP1,0.0,,0.6522658467292786
random,mean,0,IGHM,,,0.836993932723999
random,mean,0,HLA-DRB1,0.0,,0.5869629383087158
random,mean,0,C1QA,,,0.6749818921089172
random,mean,0,IGHA1,,,0.8676629066467285
random,mean,0,DEGS1,,,0.6269302368164062
random,mean,0,AC087379.2,0.0,,0.4316481947898865
random,mean,0,AEBP1,,,0.7100533246994019
random,mean,0,COL1A2,,,0.7079249024391174
random,mean,0,GFRA1,0.0,,0.6424321532249451
random,mean,0,COL1A1,0.0,,0.7176073789596558
random,mean,0,HLA-E,,,0.5241157412528992
random,mean,0,CFB,,,0.5810990929603577
random,mean,0,CCL19,,,0.6165382266044617
random,mean,0,SNCG,0.0,,0.6154323816299438
random,mean,0,IGHG2,0.0,,0.6856945157051086
random,pca_ridge,0,CRISP3,0.7077386323964441,0.42130033716453213,0.6222315430641174
random,pca_ridge,0,CPB1,0.5509239535052517,0.5587794059243265,0.8190174698829651
random,pca_ridge,0,IGHG3,0.6298648194433393,0.6845712579074245,0.744375467300415
random,pca_ridge,0,CD74,0.7948866672015938,0.8019982520320862,0.34711754322052
random,pca_ridge,0,IGLC2,0.6446455643249654,0.6877620618787472,0.8555669784545898
random,pca_ridge,0,HLA-B,0.7117105579748791,0.729830844482215,0.3178848922252655
random,pca_ridge,0,IGKC,0.6475346054846383,0.7133533431334648,0.7559680938720703
random,pca_ridge,0,MALAT1,0.6930562148855581,0.6995097067851944,0.5573495030403137
random,pca_ridge,0,ALB,0.35743397101195584,0.22742828339649535,0.6643866896629333
random,pca_ridge,0,IGHG4,0.6147004983629043,0.6561842238532082,0.5849789381027222
random,pca_ridge,0,TFF3,0.6829438934324861,0.6648212051068628,0.4365547299385071
random,pca_ridge,0,CXCL14,0.6964944027443134,0.5267148133291001,0.5858042240142822
random,pca_ridge,0,IGHG1,0.6411518563354478,0.6782626258457107,0.6971275210380554
random,pca_ridge,0,SLITRK6,0.6727075501849578,0.3938346491462374,0.37913456559181213
random,pca_ridge,0,APOE,0.8040874855212943,0.8135370361135563,0.3907212018966675
random,pca_ridge,0,MT-ND2,0.5587504404746138,0.5712139885155187,0.48154115676879883
random,pca_ridge,0,CALML5,0.566617293040108,0.5830031299539947,0.4361932575702667
random,pca_ridge,0,HLA-DRA,0.7726938844843709,0.7949518209956067,0.3934662938117981
random,pca_ridge,0,S100G,0.6174165803064176,0.6127763430869904,0.6310149431228638
random,pca_ridge,0,LINC00645,0.4404701875440356,0.36157521610047616,0.4657476544380188
random,pca_ridge,0,C3,0.7231839892846763,0.715404845687407,0.5333760976791382
random,pca_ridge,0,IGLC3,0.48642464062473856,0.46127919299582604,0.7655081748962402
random,pca_ridge,0,IGLC1,0.4435809342789175,0.4111368461723415,0.7842938303947449
random,pca_ridge,0,TIMP1,0.7067455373797222,0.7149776009326154,0.5270008444786072
random,pca_ridge,0,APOC1,0.6788603743799418,0.6874404438170365,0.5033242106437683
random,pca_ridge,0,TFF1,0.540147710352869,0.5579427379900999,0.5980698466300964
random,pca_ridge,0,SCGB2A2,0.5416564136995294,0.5671355478453186,0.6445227265357971
random,pca_ridge,0,SCGB1D2,0.5206467529288009,0.5418230925170264,0.6562979817390442
random,pca_ridge,0,SERPINA3,0.4933924490126978,0.5157451807768259,0.5786958932876587
random,pca_ridge,0,LINC00052,0.39331558191290816,0.22602971312013106,0.25847387313842773
random,pca_ridge,0,AGR2,0.6183644770033134,0.5401926744574128,0.4908737540245056
random,pca_ridge,0,C6orf141,0.5619724075447529,0.3537338986664522,0.35521814227104187
random,pca_ridge,0,LYZ,0.6863271845436025,0.7101758234139603,0.528148353099823
random,pca_ridge,0,CTSD,0.6454813268460553,0.6705105782590736,0.36622148752212524
random,pca_ridge,0,HEBP1,0.6128609825045654,0.6200417139922922,0.5163576006889343
random,pca_ridge,0,IGHM,0.4862345650180802,0.4430664128721078,0.7314815521240234
random,pca_ridge,0,HLA-DRB1,0.6735705128127737,0.7055544147304461,0.4338673949241638
random,pca_ridge,0,C1QA,0.7369872957418452,0.7477695733336077,0.45592644810676575
random,pca_ridge,0,IGHA1,0.43782905273041217,0.4657006289907886,0.7800182104110718
random,pca_ridge,0,DEGS1,0.5392426033501743,0.3968485757320873,0.5290096998214722
random,pca_ridge,0,AC087379.2,0.4281597861585078,0.35391760321683324,0.3900918960571289
random,pca_ridge,0,AEBP1,0.7076860020694424,0.7220882615334981,0.5019246339797974
random,pca_ridge,0,COL1A2,0.7056475982125193,0.7283018212237318,0.5020595192909241
random,pca_ridge,0,GFRA1,0.5759449292794954,0.41589658516215816,0.5256205797195435
random,pca_ridge,0,COL1A1,0.6950556522529864,0.7152066434131857,0.5162821412086487
random,pca_ridge,0,HLA-E,0.6482662897443404,0.7025352897417901,0.39904072880744934
random,pca_ridge,0,CFB,0.47286790828333186,0.46759932365594775,0.5130482316017151
random,pca_ridge,0,CCL19,0.5927651523914144,0.47544832461193326,0.49810028076171875
random,pca_ridge,0,SNCG,0.49414987999864973,0.4943556571663831,0.5350123047828674
random,pca_ridge,0,IGHG2,0.369308085670425,0.2896346711607212,0.6373018026351929
random,spatial_knn,0,CRISP3,0.8411815537229892,0.4566944828205278,0.47592934153859207
random,spatial_knn,0,CPB1,0.774651632074627,0.7185948104050706,0.6223177334878695
random,spatial_knn,0,IGHG3,0.7185815090331723,0.7245364254719334,0.6670262470248783
random,spatial_knn,0,CD74,0.798554666618186,0.8008655423224378,0.3442924604983969
random,spatial_knn,0,IGLC2,0.7054521286168808,0.7355469749393234,0.7968621198552345
random,spatial_knn,0,HLA-B,0.8061387271304632,0.8073391628588087,0.26801290629144486
random,spatial_knn,0,IGKC,0.6966525827060065,0.734038330173379,0.7122645022915332
random,spatial_knn,0,MALAT1,0.5796806923054877,0.6140623152182679,0.6353992415007131
random,spatial_knn,0,ALB,0.7744020237119319,0.29290338393349347,0.45234200526224766
random,spatial_knn,0,IGHG4,0.6515400695671824,0.6597437987431091,0.5642590100674945
random,spatial_knn,0,TFF3,0.758983291125701,0.7497734523451073,0.38878046546390044
random,spatial_knn,0,CXCL14,0.7824017253440883,0.6260570857730607,0.5090195983422761
random,spatial_knn,0,IGHG1,0.6609897548918626,0.6751857505698677,0.6852234436361446
random,spatial_knn,0,SLITRK6,0.7724846649348203,0.3902804217925505,0.3251301324549694
random,spatial_knn,0,APOE,0.6893079348375185,0.6645353453878081,0.4766069309068714
random,spatial_knn,0,MT-ND2,0.5884088119216478,0.5842010071069145,0.47099582811595414
random,spatial_knn,0,CALML5,0.7086335484794065,0.69372596169681,0.37452255689868513
random,spatial_knn,0,HLA-DRA,0.7319474696120838,0.7593593693785123,0.42201678772557333
random,spatial_knn,0,S100G,0.7153529373180543,0.6781574029517331,0.5613353560677771
random,spatial_knn,0,LINC00645,0.6507758526630155,0.4579214183966208,0.3975274658271555
random,spatial_knn,0,C3,0.6387498608998472,0.6255745952343277,0.5957180792448912
random,spatial_knn,0,IGLC3,0.5693610303608135,0.49738290649774725,0.7239297522413075
random,spatial_knn,0,IGLC1,0.48986805923128957,0.4103971643671093,0.7683430259781993
random,spatial_knn,0,TIMP1,0.6394804537890514,0.6505799034103045,0.5738171297818482
random,spatial_knn,0,APOC1,0.6176899024622694,0.6105294030885899,0.5388106105826396
random,spatial_knn,0,TFF1,0.6749557934715292,0.6859088896965807,0.5231701847603658
random,spatial_knn,0,SCGB2A2,0.6367128779008743,0.6304740111697028,0.591399576461572
random,spatial_knn,0,SCGB1D2,0.6160180636882242,0.6058186252597572,0.6060530454995425
random,spatial_knn,0,SERPINA3,0.6739979335543217,0.6446054713272256,0.4892882719745978
random,spatial_knn,0,LINC00052,0.6797382791190386,0.2964575140688265,0.2089728427615032
random,spatial_knn,0,AGR2,0.6328711469165398,0.5430563736253997,0.4857553333664099
random,spatial_knn,0,C6orf141,0.630508680480822,0.3530821140706763,0.3338001578213447
random,spatial_knn,0,LYZ,0.6593996799585762,0.6832309065594078,0.5464146377099921
random,spatial_knn,0,CTSD,0.583273702501251,0.5789835868402343,0.39012297308452015
