slide,split,model,seed,gene,pearson,spearman,rmse
Section_1,random,mean,0,CRISP3,,,0.9042337536811829
Section_1,random,mean,0,CPB1,,,0.9668278694152832
Section_1,random,mean,0,IGHG3,,,1.0070793628692627
Section_1,random,mean,0,CD74,0.0,,0.5920121073722839
Section_1,random,mean,0,IGLC2,,,1.1763007640838623
Section_1,random,mean,0,HLA-B,,,0.44772911071777344
Section_1,random,mean,0,IGKC,,,1.0241299867630005
Section_1,random,mean,0,MALAT1,,,0.8307698965072632
Section_1,random,mean,0,ALB,,,0.7164507508277893
Section_1,random,mean,0,IGHG4,,,0.772712230682373
Section_1,random,mean,0,TFF3,,,0.5765931010246277
Section_1,random,mean,0,CXCL14,,,0.7884839177131653
Section_1,random,mean,0,IGHG1,,,0.9104166030883789
Section_1,random,mean,0,SLITRK6,,,0.5242015719413757
Section_1,random,mean,0,APOE,0.0,,0.6522281169891357
Section_1,random,mean,0,MT-ND2,0.0,,0.5115998387336731
Section_1,random,mean,0,CALML5,0.0,,0.5279676914215088
Section_1,random,mean,0,HLA-DRA,,,0.6517370939254761
Section_1,random,mean,0,S100G,,,0.7965080738067627
Section_1,random,mean,0,LINC00645,0.0,,0.4592680335044861
Section_1,random,mean,0,C3,,,0.8240536451339722
Section_1,random,mean,0,IGLC3,0.0,,0.8532353043556213
Section_1,random,mean,0,IGLC1,0.0,,0.9589693546295166
Section_1,random,mean,0,TIMP1,,,0.783150315284729
Section_1,random,mean,0,APOC1,,,0.6890447735786438
Section_1,random,mean,0,TFF1,,,0.7006495594978333
Section_1,random,mean,0,SCGB2A2,,,0.7240127921104431
Section_1,random,mean,0,SCGB1D2,0.0,,0.7305247783660889
Section_1,random,mean,0,SERPINA3,,,0.6661279201507568
Section_1,random,mean,0,LINC00052,,,0.28598663210868835
Section_1,random,mean,0,AGR2,,,0.6332002878189087
Section_1,random,mean,0,C6orf141,,,0.4427153766155243
Section_1,random,mean,0,LYZ,0.0,,0.7404875755310059
Section_1,random,mean,0,CTSD,,,0.48904985189437866
Section_1,random,mean,0,HEBP1,0.0,,0.6592013239860535
Section_1,random,mean,0,IGHM,,,0.8648881316184998
Section_1,random,mean,0,HLA-DRB1,,,0.5896028876304626
Section_1,random,mean,0,C1QA,,,0.6925594806671143
Section_1,random,mean,0,IGHA1,,,0.9016724228858948
Section_1,random,mean,0,DEGS1,,,0.6457890868186951
Section_1,random,mean,0,AC087379.2,0.0,,0.4086538553237915
Section_1,random,mean,0,AEBP1,,,0.7302715182304382
Section_1,random,mean,0,COL1A2,,,0.7511103749275208
Section_1,random,mean,0,GFRA1,0.0,,0.6399688720703125
Section_1,random,mean,0,COL1A1,0.0,,0.7683991193771362
Section_1,random,mean,0,HLA-E,,,0.5545195937156677
Section_1,random,mean,0,CFB,,,0.5893805027008057
Section_1,random,mean,0,CCL19,,,0.6480632424354553
Section_1,random,mean,0,SNCG,,,0.6061373949050903
Section_1,random,mean,0,IGHG2,0.0,,0.6823723316192627
Section_2,random,mean,0,CRISP3,,,0.8555302619934082
Section_2,random,mean,0,CPB1,,,0.9917089343070984
Section_2,random,mean,0,IGHG3,,,0.9008030295372009
Section_2,random,mean,0,CD74,0.0,,0.5526461601257324
Section_2,random,mean,0,IGLC2,,,1.0608891248703003
Section_2,random,mean,0,HLA-B,0.0,,0.45537781715393066
Section_2,random,mean,0,IGKC,,,0.9528883695602417
Section_2,random,mean,0,MALAT1,,,0.7130439877510071
Section_2,random,mean,0,ALB,,,0.7060881853103638
Section_2,random,mean,0,IGHG4,0.0,,0.7069018483161926
Section_2,random,mean,0,TFF3,,,0.6141052842140198
Section_2,random,mean,0,CXCL14,0.0,,0.8403322696685791
Section_2,random,mean,0,IGHG1,,,0.9028540253639221
